,iter,weights
0,1,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
1,2,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 0.5, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 2.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.75, 'other_row_cons': 1.75, 'other_block_cons': 2.0, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 2.0}"
2,3,"{'number_adjacent_facts_other_value': 2.25, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 3.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.625, 'other_row_cons': 2.625, 'other_block_cons': 3.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.6666666666666665, 'number_adjacent_block_facts': 1.6666666666666667}"
3,4,"{'number_adjacent_facts_other_value': 2.25, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.625, 'other_row_cons': 2.625, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.6666666666666665, 'number_adjacent_block_facts': 1.6666666666666667}"
4,5,"{'number_adjacent_facts_other_value': 2.25, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 4.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.625, 'other_row_cons': 2.625, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.1666666666666665, 'number_adjacent_block_facts': 1.1666666666666667}"
5,6,"{'number_adjacent_facts_other_value': 2.25, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 4.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.625, 'other_row_cons': 2.625, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.1666666666666665, 'number_adjacent_block_facts': 1.1666666666666667}"
6,7,"{'number_adjacent_facts_other_value': 2.25, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 4.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.625, 'other_row_cons': 2.625, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.1666666666666665, 'number_adjacent_block_facts': 1.1666666666666667}"
7,8,"{'number_adjacent_facts_other_value': 2.25, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 5.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.625, 'other_row_cons': 1.625, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.1666666666666665, 'number_adjacent_block_facts': 1.1666666666666667}"
8,9,"{'number_adjacent_facts_other_value': 2.25, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 5.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 6.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.625, 'other_row_cons': 1.625, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 1.6666666666666665, 'number_adjacent_block_facts': 0.9666666666666668}"
9,10,"{'number_adjacent_facts_other_value': 2.25, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 5.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 6.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.625, 'other_row_cons': 1.625, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 1.6666666666666665, 'number_adjacent_block_facts': 0.9666666666666668}"
10,11,"{'number_adjacent_facts_other_value': 2.25, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 5.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 6.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.625, 'other_row_cons': 1.625, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 1.6666666666666665, 'number_adjacent_block_facts': 0.9666666666666668}"
11,12,"{'number_adjacent_facts_other_value': 2.25, 'number_other_facts_same_value': 1.5714285714285714, 'number_other_facts_other_value': 5.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 7.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.482142857142857, 'other_row_cons': 0.625, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 1.6666666666666665, 'number_adjacent_block_facts': 0.9666666666666668}"
12,13,"{'number_adjacent_facts_other_value': 1.25, 'number_other_facts_same_value': 1.8214285714285714, 'number_other_facts_other_value': 5.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 7.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.482142857142857, 'other_row_cons': 1.125, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 0.6666666666666665, 'number_adjacent_block_facts': 0.001}"
13,14,"{'number_adjacent_facts_other_value': 1.25, 'number_other_facts_same_value': 2.321428571428571, 'number_other_facts_other_value': 5.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 7.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.4821428571428572, 'other_row_cons': 2.125, 'other_block_cons': 6.0, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 0.6666666666666665, 'number_adjacent_block_facts': 0.001}"
14,15,"{'number_adjacent_facts_other_value': 0.25, 'number_other_facts_same_value': 2.571428571428571, 'number_other_facts_other_value': 5.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 7.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.4821428571428572, 'other_row_cons': 2.625, 'other_block_cons': 6.0, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 0.001}"
15,16,"{'number_adjacent_facts_other_value': 0.45, 'number_other_facts_same_value': 2.9047619047619047, 'number_other_facts_other_value': 5.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 7.0, 'adjacent_block_used': 0.001, 'other_col_cons': 0.4821428571428572, 'other_row_cons': 3.2916666666666665, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 0.201, 'number_adjacent_block_facts': 0.001}"
16,17,"{'number_adjacent_facts_other_value': 0.45, 'number_other_facts_same_value': 3.4047619047619047, 'number_other_facts_other_value': 5.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 8.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.2321428571428572, 'other_row_cons': 2.2916666666666665, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 0.201, 'number_adjacent_block_facts': 0.001}"
17,18,"{'number_adjacent_facts_other_value': 0.2, 'number_other_facts_same_value': 3.738095238095238, 'number_other_facts_other_value': 5.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 8.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.2321428571428572, 'other_row_cons': 2.7916666666666665, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 0.001}"
18,19,"{'number_adjacent_facts_other_value': 0.95, 'number_other_facts_same_value': 3.738095238095238, 'number_other_facts_other_value': 6.0, 'adjacent_col_used': 7.0, 'adjacent_row_used': 8.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.2321428571428572, 'other_row_cons': 2.7916666666666665, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 1.001, 'number_adjacent_block_facts': 0.6676666666666666}"
19,20,"{'number_adjacent_facts_other_value': 0.95, 'number_other_facts_same_value': 3.738095238095238, 'number_other_facts_other_value': 6.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 8.0, 'adjacent_block_used': 1.001, 'other_col_cons': 2.232142857142857, 'other_row_cons': 2.7916666666666665, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 1.001, 'number_adjacent_block_facts': 0.6676666666666666}"
20,21,"{'number_adjacent_facts_other_value': 0.35, 'number_other_facts_same_value': 4.238095238095238, 'number_other_facts_other_value': 6.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 8.0, 'adjacent_block_used': 1.001, 'other_col_cons': 2.732142857142857, 'other_row_cons': 2.7916666666666665, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 0.5, 'number_adjacent_col_facts': 1.001, 'number_adjacent_block_facts': 0.06766666666666665}"
21,22,"{'number_adjacent_facts_other_value': 0.35, 'number_other_facts_same_value': 4.238095238095238, 'number_other_facts_other_value': 6.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 8.0, 'adjacent_block_used': 2.001, 'other_col_cons': 2.732142857142857, 'other_row_cons': 2.7916666666666665, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 0.6259999999999999, 'number_adjacent_block_facts': 0.6676666666666666}"
22,23,"{'number_adjacent_facts_other_value': 0.14999999999999997, 'number_other_facts_same_value': 4.488095238095238, 'number_other_facts_other_value': 6.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 8.0, 'adjacent_block_used': 2.001, 'other_col_cons': 2.732142857142857, 'other_row_cons': 3.0416666666666665, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 0.2926666666666666, 'number_adjacent_block_facts': 0.3343333333333333}"
23,24,"{'number_adjacent_facts_other_value': 1.15, 'number_other_facts_same_value': 4.688095238095238, 'number_other_facts_other_value': 6.0, 'adjacent_col_used': 7.0, 'adjacent_row_used': 8.0, 'adjacent_block_used': 1.001, 'other_col_cons': 1.7321428571428572, 'other_row_cons': 3.6416666666666666, 'other_block_cons': 5.0, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 1.2926666666666666, 'number_adjacent_block_facts': 0.3343333333333333}"
24,25,"{'number_adjacent_facts_other_value': 1.15, 'number_other_facts_same_value': 4.688095238095238, 'number_other_facts_other_value': 6.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 8.0, 'adjacent_block_used': 1.001, 'other_col_cons': 2.732142857142857, 'other_row_cons': 3.6416666666666666, 'other_block_cons': 6.0, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 1.2926666666666666, 'number_adjacent_block_facts': 0.3343333333333333}"
25,26,"{'number_adjacent_facts_other_value': 1.15, 'number_other_facts_same_value': 4.688095238095238, 'number_other_facts_other_value': 6.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 8.0, 'adjacent_block_used': 1.001, 'other_col_cons': 2.732142857142857, 'other_row_cons': 3.6416666666666666, 'other_block_cons': 6.0, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 1.2926666666666666, 'number_adjacent_block_facts': 0.3343333333333333}"
26,27,"{'number_adjacent_facts_other_value': 0.5499999999999999, 'number_other_facts_same_value': 5.188095238095238, 'number_other_facts_other_value': 6.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 8.0, 'adjacent_block_used': 1.001, 'other_col_cons': 2.732142857142857, 'other_row_cons': 4.141666666666667, 'other_block_cons': 6.0, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 0.29266666666666663, 'number_adjacent_block_facts': 0.001}"
