,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
79,-0.15,0.125,-0.057692307692307696,0.0,0.0,0.0,0.0,0.0,-0.125,-0.125,0.0,-0.25,Difference
80,0.001,12.25,7.730769230769232,0.001,10.001,11.0,11.0,12.25,6.2509999999999994,1.251,3.751,0.001,Final
81,0.001,12.25,7.730769230769232,0.001,10.001,11.0,11.0,12.25,6.2509999999999994,1.251,3.751,0.001,Starting
82,-0.15,0.125,-0.057692307692307696,0.0,0.0,0.0,-0.125,0.0,0.0,-0.125,0.0,-0.375,Difference
83,0.001,13.5,7.153846153846155,0.001,10.001,11.0,9.75,12.25,6.2509999999999994,0.001,3.751,0.001,Final
84,0.001,13.5,7.153846153846155,0.001,10.001,11.0,9.75,12.25,6.2509999999999994,0.001,3.751,0.001,Starting
85,-0.05,0.0,-0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.125,Difference
86,0.001,13.5,6.961538461538463,0.001,10.001,11.0,9.75,12.25,6.2509999999999994,0.001,3.751,1.251,Final
87,0.001,13.5,6.961538461538463,0.001,10.001,11.0,9.75,12.25,6.2509999999999994,0.001,3.751,1.251,Starting
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,-0.125,Difference
89,0.001,13.5,6.961538461538463,0.001,10.001,11.0,9.75,12.25,6.2509999999999994,1.251,3.751,0.001,Final
90,0.001,13.5,6.961538461538463,0.001,10.001,11.0,9.75,12.25,6.2509999999999994,1.251,3.751,0.001,Starting
91,-0.1,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,-0.125,Difference
92,0.001,13.5,7.153846153846155,0.001,10.001,11.0,9.75,12.25,6.2509999999999994,0.001,3.751,0.001,Final
93,0.001,13.5,7.153846153846155,0.001,10.001,11.0,9.75,12.25,6.2509999999999994,0.001,3.751,0.001,Starting
94,0.05,0.0,0.057692307692307696,0.0,0.0,0.0,0.125,0.0,0.125,0.25,-0.375,0.375,Difference
95,0.501,13.5,7.730769230769232,0.001,10.001,11.0,11.0,12.25,7.5009999999999994,2.501,0.001,3.751,Final
96,0.501,13.5,7.730769230769232,0.001,10.001,11.0,11.0,12.25,7.5009999999999994,2.501,0.001,3.751,Starting
97,-0.05,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,Difference
98,0.0010000000000000009,13.5,7.923076923076924,0.001,10.001,11.0,11.0,12.25,7.5009999999999994,2.501,0.001,3.751,Final
99,0.0010000000000000009,13.5,7.923076923076924,0.001,10.001,11.0,11.0,12.25,7.5009999999999994,2.501,0.001,3.751,Starting
100,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.125,0.0,0.25,0.0,Difference
101,1.001,13.5,7.923076923076924,0.001,10.001,11.0,11.0,13.5,6.2509999999999994,2.501,2.501,3.751,Final
102,1.001,13.5,7.923076923076924,0.001,10.001,11.0,11.0,13.5,6.2509999999999994,2.501,2.501,3.751,Starting
103,-0.15,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,-0.375,0.0,Difference
104,0.001,14.75,7.923076923076924,0.001,10.001,11.0,11.0,13.5,7.5009999999999994,2.501,0.001,3.751,Final
105,0.001,14.75,7.923076923076924,0.001,10.001,11.0,11.0,13.5,7.5009999999999994,2.501,0.001,3.751,Starting
106,0.05,-0.125,0.09615384615384616,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,Difference
107,0.501,13.5,8.884615384615385,0.001,10.001,11.0,12.25,13.5,7.5009999999999994,2.501,0.001,5.0009999999999994,Final
108,0.501,13.5,8.884615384615385,0.001,10.001,11.0,12.25,13.5,7.5009999999999994,2.501,0.001,5.0009999999999994,Starting
109,-0.25,0.25,-0.11538461538461539,0.0,0.0,0.0,-0.125,0.0,0.125,0.0,-0.375,-0.25,Difference
110,0.001,16.0,7.730769230769231,0.001,10.001,11.0,11.0,13.5,8.751,2.501,0.001,2.5009999999999994,Final
111,0.001,16.0,7.730769230769231,0.001,10.001,11.0,11.0,13.5,8.751,2.501,0.001,2.5009999999999994,Starting
112,0.0,-0.125,0.15384615384615385,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,Difference
113,0.001,14.75,9.26923076923077,0.001,10.001,11.0,12.25,13.5,8.751,2.501,0.001,2.5009999999999994,Final
114,0.001,14.75,9.26923076923077,0.001,10.001,11.0,12.25,13.5,8.751,2.501,0.001,2.5009999999999994,Starting
115,-0.15,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,-0.375,0.0,Difference
116,0.001,16.0,9.26923076923077,0.001,10.001,11.0,12.25,13.5,10.001,2.501,0.001,2.5009999999999994,Final
117,0.001,16.0,9.26923076923077,0.001,10.001,11.0,12.25,13.5,10.001,2.501,0.001,2.5009999999999994,Starting
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,-0.125,Difference
119,0.001,16.0,9.26923076923077,0.001,10.001,11.0,12.25,13.5,10.001,3.751,0.001,1.2509999999999994,Final
120,0.001,16.0,9.26923076923077,0.001,10.001,11.0,12.25,13.5,10.001,3.751,0.001,1.2509999999999994,Starting
121,0.2,0.0,0.019230769230769232,0.0,0.0,0.0,0.125,0.0,-0.125,0.0,0.5,-0.125,Difference
122,2.001,16.0,9.461538461538462,0.001,10.001,11.0,13.5,13.5,8.751,3.751,5.001,0.001,Final
123,2.001,16.0,9.461538461538462,0.001,10.001,11.0,13.5,13.5,8.751,3.751,5.001,0.001,Starting
124,-0.05,0.125,0.0,0.0,0.0,0.0,-0.125,0.125,-0.125,-0.125,0.25,-0.5,Difference
125,1.501,17.25,9.461538461538462,0.001,10.001,11.0,12.25,14.75,7.5009999999999994,2.501,7.501,0.001,Final
126,1.501,17.25,9.461538461538462,0.001,10.001,11.0,12.25,14.75,7.5009999999999994,2.501,7.501,0.001,Starting
127,-0.05,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,Difference
128,1.001,17.25,9.653846153846153,0.001,10.001,11.0,12.25,14.75,7.5009999999999994,2.501,7.501,0.001,Final
129,1.001,17.25,9.653846153846153,0.001,10.001,11.0,12.25,14.75,7.5009999999999994,2.501,7.501,0.001,Starting
130,-0.15,0.125,0.0,0.0,0.0,0.0,-0.125,0.0,0.0,-0.125,0.0,-0.375,Difference
131,0.001,18.5,9.653846153846153,0.001,10.001,11.0,11.0,14.75,7.5009999999999994,1.251,7.501,0.001,Final
