,predicted,ground_truth,difference_df_relative,difference_df_abs
0,202.34,202.34,0.0,0.0
1,202.34,202.34,0.0,0.0
2,202.34,202.34,0.0,0.0
3,405.02,207.01,0.956523839428047,198.01
4,306.03,108.02,1.8330864654693575,198.01
5,108.03,8.92,11.110986547085203,99.11
6,400.34,321.79,0.24410329718139143,78.54999999999995
7,500.96,223.08,1.2456517841133226,277.88
8,400.34,212.67000000000002,0.8824469835895986,187.66999999999996
9,410.23,323.43,0.26837337290913027,86.80000000000001
10,410.23,323.43,0.26837337290913027,86.80000000000001
11,421.23,401.23,0.04984672133190439,20.0
12,400.34,400.34,0.0,0.0
13,420.12,401.23,0.04708022829798367,18.889999999999986
14,601.72,405.02,0.48565502938126526,196.70000000000005
15,410.23,410.23,0.0,0.0
16,410.23,410.23,0.0,0.0
17,600.63,521.9599999999999,0.15072036171354142,78.67000000000007
18,610.53,610.53,0.0,0.0
19,410.23,410.23,0.0,0.0
20,1214.95,835.87,0.45351549882158715,379.08000000000004
21,600.66,123.99,3.844422937333656,476.66999999999996
22,702.71,207.0,2.3947342995169083,495.71000000000004
23,400.34,224.06,0.7867535481567436,176.27999999999997
24,721.34,304.53,1.3686993071290188,416.81000000000006
25,400.34,223.0,0.7952466367713004,177.33999999999997
26,423.07,225.05,0.8798933570317706,198.01999999999998
27,700.9399999999999,126.06,4.560368078692685,574.8799999999999
28,321.79,123.99,1.5952899427373177,197.8
29,202.34,105.63,0.9155542932878918,96.71000000000001
30,401.67,8.92,44.030269058295964,392.75
31,503.73,108.01,3.6637348393667253,395.72
32,420.12,8.92,46.09865470852018,411.2
33,800.4200000000001,207.0,2.866763285024155,593.4200000000001
34,710.44,108.01,5.57753911674845,602.4300000000001
35,410.23,8.92,44.98991031390135,401.31
36,600.63,207.01,1.9014540360369065,393.62
37,811.77,108.02,6.514997222736531,703.75
38,304.71999999999997,8.92,33.16143497757847,295.79999999999995
39,400.34,222.77999999999997,0.797019481102433,177.56
40,600.66,105.63,4.686452712297642,495.03
41,501.43,224.06,1.237927340890833,277.37
42,410.23,105.63,2.883650478083878,304.6
43,901.71,108.01,7.348393667253032,793.7
44,410.23,8.92,44.98991031390135,401.31
45,500.96,207.0,1.420096618357488,293.96
46,600.66,108.01,4.561151745208776,492.65
47,400.34,8.92,43.88116591928251,391.41999999999996
48,500.96,207.0,1.420096618357488,293.96
49,600.66,108.01,4.561151745208776,492.65
50,400.34,8.92,43.88116591928251,391.41999999999996
51,400.34,222.77999999999997,0.797019481102433,177.56
52,400.34,124.07,2.2267268477472393,276.27
53,400.34,105.63,2.7900217741172013,294.71
54,400.34,108.01,2.7065086566058696,292.33
55,400.34,8.92,43.88116591928251,391.41999999999996
