,iter,time exp 1,time exp 2
0,1,9.570133209228516,1.0436301231384277
1,2,9.457198143005371,10.940116882324219
2,3,10.627470254898071,11.450173616409302
3,4,8.714673280715942,11.551186561584473
4,5,8.947437524795532,9.891911268234253
5,6,8.64461064338684,9.509514093399048
6,7,7.8465495109558105,8.138310670852661
7,8,6.932103157043457,7.669350862503052
8,9,6.646877765655518,7.273864030838013
9,10,7.583136796951294,10.07699203491211
10,11,8.41667103767395,11.019067287445068
11,12,5.964416265487671,8.189716339111328
12,13,5.128640651702881,6.973596811294556
13,14,5.495183944702148,7.554452657699585
14,15,5.453495502471924,8.097526550292969
15,16,7.110568284988403,8.758430480957031
16,17,5.123071193695068,8.469023704528809
17,18,4.752985715866089,6.518362998962402
18,19,4.907293081283569,6.058192253112793
19,20,4.416898727416992,5.695564270019531
20,21,4.173296213150024,9.279646635055542
21,22,11.197463750839233,13.499378442764282
22,23,2.505971908569336,3.3849539756774902
23,24,11.573250532150269,16.74877381324768
24,25,4.180878400802612,4.266413688659668
25,26,2.146594762802124,3.532893419265747
26,27,3.46830415725708,6.5186686515808105
27,28,4.108713150024414,5.6590046882629395
28,29,3.056342840194702,5.6629064083099365
29,30,2.6419687271118164,3.246530771255493
30,31,3.199280023574829,4.608611345291138
31,32,2.3908498287200928,3.1911871433258057
32,33,1.8578333854675293,2.865779399871826
33,34,1.9466118812561035,2.855698823928833
34,35,2.0433056354522705,2.815805435180664
35,36,2.2694830894470215,3.375497579574585
36,37,3.221820116043091,5.056793451309204
37,38,2.9793269634246826,4.645152568817139
38,39,3.098205089569092,6.573995590209961
39,40,3.93217134475708,7.669882535934448
40,41,1.511368989944458,2.568589210510254
41,42,1.118311882019043,2.8475966453552246
42,43,1.8139069080352783,5.132294654846191
43,44,1.2929050922393799,3.2001309394836426
44,45,0.7078907489776611,6.398042440414429
45,46,1.7653107643127441,3.642491102218628
46,47,3.3902502059936523,2.6794018745422363
47,48,2.938863754272461,5.921044826507568
48,49,0.6060922145843506,4.1798906326293945
49,50,1.1434121131896973,2.5609002113342285
50,51,0.4662778377532959,2.5096218585968018
51,52,2.300265312194824,6.850222587585449
52,53,0.6279923915863037,4.992377042770386
53,54,1.6542606353759766,18.446744680404663
54,55,0.8309969902038574,2.0981273651123047
55,56,2.0079245567321777,2.6253113746643066
56,57,14.4699068069458,13.68169903755188
57,58,10.85693883895874,15.066202640533447
58,59,12.559105396270752,13.42370057106018
59,60,8.334383726119995,12.215444087982178
60,61,10.40616488456726,12.150694608688354
61,62,12.38379454612732,12.155045986175537
62,63,7.428494691848755,9.118256568908691
63,64,9.449683666229248,11.333207607269287
64,65,6.737599849700928,10.142677068710327
65,66,8.490185976028442,9.844280481338501
66,67,6.81085205078125,8.95852541923523
67,68,8.369140625,11.374719381332397
68,69,8.787065029144287,9.430703401565552
69,70,7.751200437545776,10.589093446731567
70,71,6.2592878341674805,8.146737337112427
71,72,11.405071496963501,12.252258539199829
72,73,5.98463249206543,7.721973180770874
73,74,6.696525573730469,7.395536422729492
74,75,4.5131754875183105,7.650262832641602
75,76,5.117704629898071,6.8318164348602295
76,77,4.77562403678894,7.908233165740967
77,78,4.540809392929077,6.737932205200195
78,79,5.001574993133545,6.218125581741333
79,80,5.435431718826294,7.078274726867676
80,81,2.7307913303375244,8.085522413253784
81,82,2.7839605808258057,4.340915203094482
82,83,2.8533263206481934,4.982125520706177
83,84,2.5356733798980713,5.3038671016693115
84,85,2.844247817993164,4.853257656097412
85,86,2.0960893630981445,5.119285821914673
86,87,2.2455062866210938,3.17749285697937
87,88,2.451228141784668,6.229943037033081
88,89,1.6810901165008545,10.516057252883911
89,90,2.7600507736206055,4.697282791137695
90,91,4.262632131576538,4.926236152648926
91,92,2.800783157348633,8.788874387741089
92,93,1.90385103225708,5.919118881225586
93,94,1.1579203605651855,5.395131826400757
94,95,5.269244194030762,9.42912483215332
95,96,2.1616108417510986,3.2601206302642822
96,97,5.502462387084961,6.509668350219727
97,98,6.667016267776489,7.683457374572754
98,99,2.8517744541168213,4.899275064468384
99,100,2.2520177364349365,3.9484100341796875
100,101,2.0644829273223877,6.659211874008179
