,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
275,0.001,5.6259999999999994,15.519230769230763,0.001,6.0,6.0,7.875,6.0,3.1259999999999994,0.001,15.375,6.8759999999999994,Final
276,0.001,5.6259999999999994,15.519230769230763,0.001,6.0,6.0,7.875,6.0,3.1259999999999994,0.001,15.375,6.8759999999999994,Starting
277,-0.1,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,-0.125,Difference
278,0.001,5.6259999999999994,15.61538461538461,0.001,6.0,6.0,7.875,6.0,3.1259999999999994,0.001,15.375,6.2509999999999994,Final
279,0.001,5.6259999999999994,15.61538461538461,0.001,6.0,6.0,7.875,6.0,3.1259999999999994,0.001,15.375,6.2509999999999994,Starting
280,-0.15,0.125,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.375,0.0,0.0,Difference
281,0.001,6.2509999999999994,15.61538461538461,0.001,6.0,6.0,7.875,6.0,2.5009999999999994,0.001,15.375,6.2509999999999994,Final
282,0.001,6.2509999999999994,15.61538461538461,0.001,6.0,6.0,7.875,6.0,2.5009999999999994,0.001,15.375,6.2509999999999994,Starting
283,0.15,-0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.375,0.0,0.125,Difference
284,0.751,5.6259999999999994,15.61538461538461,0.001,6.0,6.0,8.5,6.0,2.5009999999999994,1.876,15.375,6.8759999999999994,Final
285,0.751,5.6259999999999994,15.61538461538461,0.001,6.0,6.0,8.5,6.0,2.5009999999999994,1.876,15.375,6.8759999999999994,Starting
286,-0.15,0.125,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.375,0.0,0.0,Difference
287,0.0010000000000000009,6.2509999999999994,15.61538461538461,0.001,6.0,6.0,8.5,6.0,1.8759999999999994,0.001,15.375,6.8759999999999994,Final
288,0.0010000000000000009,6.2509999999999994,15.61538461538461,0.001,6.0,6.0,8.5,6.0,1.8759999999999994,0.001,15.375,6.8759999999999994,Starting
289,-0.15,0.125,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.375,0.0,0.0,Difference
290,0.001,6.8759999999999994,15.61538461538461,0.001,6.0,6.0,8.5,6.0,1.2509999999999994,0.001,15.375,6.8759999999999994,Final
291,0.001,6.8759999999999994,15.61538461538461,0.001,6.0,6.0,8.5,6.0,1.2509999999999994,0.001,15.375,6.8759999999999994,Starting
292,0.2,-0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.5,0.0,0.125,Difference
293,1.001,6.2509999999999994,15.61538461538461,0.001,6.0,6.0,9.125,6.0,1.2509999999999994,2.501,15.375,7.5009999999999994,Final
294,1.001,6.2509999999999994,15.61538461538461,0.001,6.0,6.0,9.125,6.0,1.2509999999999994,2.501,15.375,7.5009999999999994,Starting
295,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.125,0.125,0.0,0.125,-0.125,-0.125,Difference
296,1.001,6.2509999999999994,16.192307692307686,0.001,6.0,6.0,9.75,6.625,1.2509999999999994,3.126,14.75,6.8759999999999994,Final
297,1.001,6.2509999999999994,16.192307692307686,0.001,6.0,6.0,9.75,6.625,1.2509999999999994,3.126,14.75,6.8759999999999994,Starting
298,0.05,-0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.125,Difference
299,1.251,5.6259999999999994,16.192307692307686,0.001,6.0,6.0,10.375,6.625,1.2509999999999994,3.751,14.75,7.5009999999999994,Final
300,1.251,5.6259999999999994,16.192307692307686,0.001,6.0,6.0,10.375,6.625,1.2509999999999994,3.751,14.75,7.5009999999999994,Starting
301,0.15,0.125,0.0,0.0,0.0,0.0,0.125,0.25,0.25,0.625,-0.25,-0.25,Difference
302,2.001,6.2509999999999994,16.192307692307686,0.001,6.0,6.0,11.0,7.875,2.5009999999999994,6.8759999999999994,13.5,6.2509999999999994,Final
