,iter,time exp 1,time exp 2
0,1,2.5706610679626465,2.717127799987793
1,2,3.191847324371338,2.4725773334503174
2,3,2.5462985038757324,2.5100831985473633
3,4,1.939901351928711,2.5810341835021973
4,5,1.9558868408203125,2.6306345462799072
5,6,2.468700408935547,3.02199387550354
6,7,2.447091579437256,2.6910133361816406
7,8,2.598802328109741,2.7640655040740967
8,9,2.463792562484741,2.980060577392578
9,10,2.3899643421173096,2.482968330383301
10,11,2.2795233726501465,2.8749351501464844
11,12,2.068267583847046,2.4487221240997314
12,13,2.603827476501465,3.2064387798309326
13,14,2.2012274265289307,3.095733404159546
14,15,2.176933765411377,2.646104097366333
15,16,2.162179946899414,2.433680772781372
16,17,2.6896443367004395,2.9657135009765625
17,18,3.0316050052642822,2.8415963649749756
18,19,2.651611566543579,3.116068124771118
19,20,2.9441730976104736,5.729345321655273
20,21,2.5541181564331055,3.0583038330078125
21,22,2.228154182434082,2.5180392265319824
22,23,2.114945888519287,2.795832872390747
23,24,2.259707450866699,2.499924421310425
24,25,2.123980760574341,2.0541388988494873
25,26,2.3655855655670166,2.386504888534546
26,27,2.25530743598938,2.929887533187866
27,28,2.2916483879089355,2.4896960258483887
28,29,2.1403510570526123,2.375124454498291
29,30,3.7968766689300537,2.8538811206817627
30,31,3.0590755939483643,3.324057102203369
31,32,2.8574304580688477,3.5051114559173584
32,33,3.5618011951446533,4.192506790161133
33,34,3.1272950172424316,3.5031864643096924
34,35,2.9165754318237305,2.930224895477295
35,36,3.102909803390503,3.166388511657715
36,37,2.942330837249756,3.547584056854248
37,38,3.1645851135253906,2.8470942974090576
38,39,2.967456102371216,4.075679063796997
39,40,2.864469289779663,3.122487783432007
40,41,3.141655445098877,3.145129442214966
41,42,2.73340106010437,3.5010104179382324
42,43,2.734055519104004,2.8558967113494873
43,44,2.9722375869750977,2.779926061630249
44,45,3.1096415519714355,3.9277467727661133
45,46,3.2103588581085205,3.2062854766845703
46,47,2.9653327465057373,3.0491764545440674
47,48,2.990999460220337,3.2367136478424072
48,49,2.7683048248291016,3.6923983097076416
49,50,2.9144973754882812,3.4454147815704346
50,51,2.8841609954833984,3.1433489322662354
51,52,3.0658938884735107,3.7245233058929443
52,53,2.7136058807373047,3.056760311126709
53,54,3.195145606994629,5.799811124801636
54,55,3.119645118713379,3.015831232070923
55,56,2.224705934524536,2.7939467430114746
56,57,2.2848031520843506,2.6259095668792725
57,58,3.537653923034668,4.471354961395264
58,59,2.8960695266723633,3.1960017681121826
59,60,3.2342755794525146,3.487128496170044
60,61,5.180532932281494,5.39001202583313
61,62,3.2264842987060547,3.7386350631713867
62,63,2.744396448135376,3.0410139560699463
63,64,3.208395481109619,3.0981876850128174
64,65,3.7663967609405518,4.1178507804870605
65,66,3.0732085704803467,3.0978240966796875
66,67,2.8704934120178223,3.256572961807251
67,68,3.084925413131714,3.6744258403778076
68,69,3.154921531677246,4.026971340179443
69,70,2.783957004547119,2.9551095962524414
70,71,2.6157238483428955,2.807163953781128
71,72,2.5498898029327393,3.315507173538208
72,73,3.9556920528411865,4.0777318477630615
73,74,3.3783516883850098,3.6279618740081787
74,75,3.006838321685791,3.0820693969726562
75,76,3.5793118476867676,3.5185866355895996
76,77,3.7154059410095215,3.4589974880218506
77,78,3.2844436168670654,3.3530876636505127
78,79,2.988147497177124,3.5984549522399902
79,80,3.473546028137207,3.403877019882202
80,81,3.6578991413116455,4.462238788604736
81,82,3.1219632625579834,3.2352354526519775
82,83,3.3802225589752197,4.114324331283569
83,84,3.882960796356201,4.989545106887817
84,85,2.120654821395874,3.169196844100952
85,86,3.409727096557617,3.2273290157318115
86,87,3.03951358795166,3.3461050987243652
87,88,3.1458640098571777,3.0691521167755127
88,89,3.077237367630005,3.099418878555298
89,90,3.391251564025879,2.9107282161712646
90,91,3.313716173171997,3.372037887573242
91,92,3.1231119632720947,5.148972272872925
92,93,3.340615749359131,3.3434534072875977
93,94,3.2467308044433594,4.119197845458984
94,95,3.6292502880096436,3.871579170227051
95,96,4.057697534561157,6.513430833816528
96,97,4.359239816665649,3.9516589641571045
97,98,3.6116631031036377,3.7154576778411865
98,99,2.7709836959838867,3.364016056060791
99,100,3.8628296852111816,3.3827176094055176
100,101,2.3499083518981934,2.457819700241089
