,iter,time exp 1,time exp 2
0,1,2.0101654529571533,2.0322532653808594
1,2,2.330803632736206,1.9343643188476562
2,3,2.238619089126587,16.563156604766846
3,4,2.1495540142059326,2.258552312850952
4,5,2.034355878829956,2.1323671340942383
5,6,1.9496307373046875,2.0897879600524902
6,7,2.439143419265747,2.7518272399902344
7,8,2.454057216644287,2.140561103820801
8,9,2.9530043601989746,3.151353597640991
9,10,1.9729876518249512,2.911215305328369
10,11,2.0775272846221924,2.4344351291656494
11,12,2.043487310409546,2.6018590927124023
12,13,2.577131986618042,2.1780011653900146
13,14,2.197878837585449,4.071328639984131
14,15,2.3343453407287598,2.185927152633667
15,16,2.44326114654541,34.00823926925659
16,17,1.9942975044250488,2.4413444995880127
17,18,2.0284276008605957,5.362336874008179
18,19,2.5806212425231934,3.0300817489624023
19,20,2.828812599182129,4.298487663269043
20,21,2.8287341594696045,8.29353666305542
21,22,2.2321152687072754,2.2715582847595215
22,23,2.1616623401641846,2.38041615486145
23,24,2.4139533042907715,2.853288412094116
24,25,2.1762919425964355,5.154743909835815
25,26,2.341395139694214,2.2276859283447266
26,27,2.2914628982543945,4.971006155014038
27,28,2.7814278602600098,2.938037157058716
28,29,2.562119722366333,2.9718353748321533
29,30,2.569628953933716,3.6084115505218506
30,31,2.929797410964966,3.823328733444214
31,32,3.4359357357025146,4.173353672027588
32,33,4.071704149246216,3.958467721939087
33,34,3.3496062755584717,3.611067056655884
34,35,2.484273910522461,2.5944712162017822
35,36,3.3843894004821777,5.098913908004761
36,37,2.6466362476348877,3.982853889465332
37,38,3.5374014377593994,4.925511598587036
38,39,2.1689393520355225,4.893161773681641
39,40,3.154113292694092,5.819301605224609
40,41,3.442305326461792,2.916215181350708
41,42,2.7722129821777344,5.813261270523071
42,43,4.053462266921997,4.50806450843811
43,44,2.8048617839813232,5.070998668670654
44,45,3.051927089691162,3.5587430000305176
45,46,2.3015947341918945,5.644618034362793
46,47,2.6850147247314453,3.1209847927093506
47,48,3.033569812774658,3.925145387649536
48,49,3.1969399452209473,3.8604629039764404
49,50,2.8962531089782715,4.380598306655884
50,51,3.083393096923828,3.286985158920288
51,52,3.4504554271698,3.2435171604156494
52,53,3.1919562816619873,5.902258396148682
53,54,4.1661481857299805,5.504776239395142
54,55,4.156588077545166,3.682631731033325
55,56,3.9881486892700195,4.410879611968994
56,57,4.502568006515503,6.57626485824585
57,58,4.237386465072632,12.793674230575562
58,59,3.648733377456665,4.338878631591797
59,60,3.0836923122406006,4.656748533248901
60,61,3.474329710006714,3.2867040634155273
61,62,4.434404134750366,4.512097358703613
62,63,2.679046154022217,3.0054054260253906
63,64,2.9562411308288574,2.4955294132232666
64,65,3.5778210163116455,3.785883903503418
65,66,3.6843314170837402,4.1347362995147705
66,67,4.89222264289856,5.4263014793396
67,68,4.467599153518677,3.220890522003174
68,69,4.121685743331909,4.93491530418396
69,70,3.587087869644165,3.500528335571289
70,71,4.1185009479522705,11.07352876663208
71,72,3.7273848056793213,10.595468521118164
72,73,5.597280263900757,10.92143988609314
73,74,3.3544375896453857,4.261194467544556
74,75,4.0604329109191895,2.671276569366455
75,76,2.5280418395996094,6.485808610916138
76,77,3.6082231998443604,4.602751016616821
77,78,3.804192304611206,5.827343463897705
78,79,2.950512647628784,3.3844549655914307
79,80,3.897223472595215,4.278116703033447
80,81,3.9523255825042725,4.542245149612427
81,82,3.5945475101470947,4.650950908660889
82,83,2.7932937145233154,4.229538440704346
83,84,3.3109123706817627,7.600002288818359
84,85,4.638968467712402,4.586716890335083
85,86,4.023048639297485,3.2675554752349854
86,87,2.9288151264190674,5.215678691864014
87,88,3.2970471382141113,3.5567896366119385
88,89,3.5599820613861084,8.377219676971436
89,90,4.403146505355835,5.482394218444824
90,91,3.2220163345336914,7.456899404525757
91,92,5.701002597808838,14.952857732772827
92,93,3.9356961250305176,10.825464725494385
93,94,4.793469429016113,8.617130041122437
94,95,3.221163511276245,4.129666328430176
95,96,5.308004379272461,5.621785879135132
96,97,8.98222303390503,10.09310793876648
97,98,4.525547504425049,4.243201971054077
98,99,4.56214451789856,3.802677869796753
99,100,4.6396164894104,4.291788578033447
100,101,4.77029824256897,4.47704553604126
