,iter,time exp 1,time exp 2
0,1,4.0836381912231445,2.9506843090057373
1,2,3.4275662899017334,4.376730680465698
2,3,3.532022476196289,3.093740463256836
3,4,3.8776073455810547,3.1760458946228027
4,5,3.9928855895996094,3.0406229496002197
5,6,4.108405828475952,3.9253313541412354
6,7,3.352674961090088,3.5261664390563965
7,8,3.998807430267334,3.376567840576172
8,9,3.4502761363983154,3.7714712619781494
9,10,3.7949185371398926,3.315871238708496
10,11,3.4093620777130127,3.259430170059204
11,12,3.752070188522339,5.775170803070068
12,13,3.596698045730591,3.946486234664917
13,14,5.434755563735962,3.278696060180664
14,15,3.8860342502593994,6.048385381698608
15,16,3.8987064361572266,3.61916184425354
16,17,3.9220197200775146,4.575039625167847
17,18,3.767343521118164,3.5004382133483887
18,19,4.575031995773315,4.789236783981323
19,20,3.8419904708862305,3.5863499641418457
20,21,4.32726788520813,4.986278533935547
21,22,5.481548309326172,6.204912185668945
22,23,4.897110939025879,6.050427198410034
23,24,4.513275146484375,3.958390474319458
24,25,3.857060194015503,4.304839611053467
25,26,3.7556257247924805,4.347076177597046
26,27,6.962023496627808,7.592216968536377
27,28,4.416721820831299,5.507734298706055
28,29,3.8789474964141846,4.431652069091797
29,30,4.87770414352417,11.139718770980835
30,31,3.8062543869018555,4.3640124797821045
31,32,3.956308603286743,5.205770492553711
32,33,5.473581075668335,11.357201099395752
33,34,4.054115533828735,3.831543207168579
34,35,3.960890769958496,5.979660511016846
35,36,5.860126256942749,5.782169818878174
36,37,5.033828973770142,8.329932689666748
37,38,3.702636957168579,5.238935232162476
38,39,4.273811340332031,5.097353219985962
39,40,4.736013174057007,6.972337961196899
40,41,3.6076910495758057,4.244022846221924
41,42,3.416142702102661,5.425221920013428
42,43,4.652441740036011,6.635686874389648
43,44,3.211205005645752,3.9403302669525146
44,45,3.373094320297241,3.773824691772461
45,46,3.6364710330963135,5.542208194732666
46,47,3.491936206817627,3.9283688068389893
47,48,4.307302474975586,4.319891452789307
48,49,4.345951318740845,3.992182970046997
49,50,3.484562397003174,3.8410840034484863
50,51,4.28383731842041,4.997525215148926
51,52,3.445845603942871,7.456721067428589
52,53,4.27654504776001,4.732320547103882
53,54,6.522696018218994,11.266580820083618
54,55,3.6510448455810547,4.651145696640015
55,56,4.854432582855225,4.531952142715454
56,57,3.2333579063415527,5.194361925125122
57,58,3.4940969944000244,3.925731897354126
58,59,3.9279165267944336,10.670256853103638
59,60,6.262152910232544,5.321251392364502
60,61,4.017794609069824,6.501546382904053
61,62,4.236176490783691,5.409544467926025
62,63,3.521212339401245,5.25808048248291
63,64,3.7163891792297363,6.260412216186523
64,65,4.520061016082764,4.933886528015137
65,66,3.726099729537964,5.076931953430176
66,67,3.7051568031311035,6.984209775924683
67,68,3.5956008434295654,4.085316896438599
68,69,4.9423487186431885,6.076927185058594
69,70,3.80602765083313,8.482895374298096
70,71,5.14823842048645,14.595991849899292
71,72,3.8367743492126465,8.719491243362427
72,73,7.173215389251709,12.61235499382019
73,74,3.697099447250366,4.336901426315308
74,75,3.4451143741607666,4.372356176376343
75,76,4.295332431793213,4.483562707901001
76,77,4.111832857131958,4.706290245056152
77,78,4.76550817489624,5.596811771392822
78,79,3.3999316692352295,5.195341110229492
79,80,3.887012481689453,3.7225823402404785
80,81,3.762178421020508,6.363325357437134
81,82,4.244093894958496,6.287822008132935
82,83,4.295349836349487,5.16872763633728
83,84,3.4717824459075928,7.781118154525757
84,85,4.339440107345581,8.022225379943848
85,86,3.375344753265381,5.380077123641968
86,87,3.665558099746704,3.5610997676849365
87,88,5.784391641616821,5.715322017669678
88,89,7.23548150062561,5.547514915466309
89,90,4.10873007774353,4.5169267654418945
90,91,4.887032747268677,4.083184242248535
91,92,4.237240314483643,4.188737392425537
92,93,3.6652235984802246,3.5312023162841797
93,94,3.6362926959991455,5.565165758132935
94,95,3.458324909210205,4.022685527801514
95,96,4.211039304733276,4.353626251220703
96,97,9.0465829372406,7.43186616897583
97,98,4.488367557525635,8.875790357589722
98,99,3.633730173110962,6.719964981079102
99,100,4.890220403671265,9.71087098121643
100,101,3.761638879776001,4.138918399810791
