,iter,weights
14,15,"{'number_adjacent_facts_other_value': 1.025, 'number_other_facts_same_value': 1.7357142857142858, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.501, 'adjacent_block_used': 0.001, 'other_col_cons': 1.0625, 'other_row_cons': 1.6958333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 0.9833333333333334, 'number_adjacent_block_facts': 0.001}"
15,16,"{'number_adjacent_facts_other_value': 1.025, 'number_other_facts_same_value': 1.9857142857142858, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.5, 'adjacent_row_used': 3.501, 'adjacent_block_used': 0.001, 'other_col_cons': 0.5625, 'other_row_cons': 2.0708333333333333, 'other_block_cons': 3.375, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 0.9833333333333334, 'number_adjacent_block_facts': 0.001}"
16,17,"{'number_adjacent_facts_other_value': 1.025, 'number_other_facts_same_value': 2.2357142857142858, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.5, 'adjacent_row_used': 4.0009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 0.9375, 'other_row_cons': 1.5708333333333333, 'other_block_cons': 3.375, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 0.9833333333333334, 'number_adjacent_block_facts': 0.001}"
17,18,"{'number_adjacent_facts_other_value': 0.8999999999999999, 'number_other_facts_same_value': 2.4023809523809523, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.5, 'adjacent_row_used': 4.0009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 0.9375, 'other_row_cons': 1.8208333333333333, 'other_block_cons': 3.375, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 0.8583333333333334, 'number_adjacent_block_facts': 0.001}"
18,19,"{'number_adjacent_facts_other_value': 0.8999999999999999, 'number_other_facts_same_value': 2.6023809523809525, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.5, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 1.3125, 'other_row_cons': 1.3208333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 0.8583333333333334, 'number_adjacent_block_facts': 0.001}"
19,20,"{'number_adjacent_facts_other_value': 0.8999999999999999, 'number_other_facts_same_value': 2.6023809523809525, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.0, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 0.501, 'other_col_cons': 1.8125, 'other_row_cons': 1.3208333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 0.8583333333333334, 'number_adjacent_block_facts': 0.001}"
20,21,"{'number_adjacent_facts_other_value': 0.5999999999999999, 'number_other_facts_same_value': 2.8523809523809525, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.0, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 0.501, 'other_col_cons': 2.0625, 'other_row_cons': 1.3208333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 0.8583333333333334, 'number_adjacent_block_facts': 0.001}"
21,22,"{'number_adjacent_facts_other_value': 0.5999999999999999, 'number_other_facts_same_value': 2.8523809523809525, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.0, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 1.001, 'other_col_cons': 2.0625, 'other_row_cons': 1.3208333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 0.7333333333333334, 'number_adjacent_block_facts': 0.251}"
22,23,"{'number_adjacent_facts_other_value': 0.4999999999999999, 'number_other_facts_same_value': 2.9773809523809525, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.0, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 1.001, 'other_col_cons': 2.0625, 'other_row_cons': 1.4458333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 0.5666666666666668, 'number_adjacent_block_facts': 0.08433333333333334}"
23,24,"{'number_adjacent_facts_other_value': 0.9999999999999999, 'number_other_facts_same_value': 3.0773809523809526, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.5, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 0.5009999999999999, 'other_col_cons': 1.5625, 'other_row_cons': 1.7458333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.0666666666666669, 'number_adjacent_block_facts': 0.08433333333333334}"
24,25,"{'number_adjacent_facts_other_value': 0.9999999999999999, 'number_other_facts_same_value': 3.0773809523809526, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.5, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 0.5009999999999999, 'other_col_cons': 1.5625, 'other_row_cons': 1.7458333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.0666666666666669, 'number_adjacent_block_facts': 0.08433333333333334}"
25,26,"{'number_adjacent_facts_other_value': 0.9999999999999999, 'number_other_facts_same_value': 3.0773809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 4.5, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 0.5009999999999999, 'other_col_cons': 1.5625, 'other_row_cons': 1.7458333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.15, 'number_adjacent_col_facts': 1.0666666666666669, 'number_adjacent_block_facts': 0.251}"
26,27,"{'number_adjacent_facts_other_value': 0.7, 'number_other_facts_same_value': 3.3273809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 4.5, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 0.5009999999999999, 'other_col_cons': 1.5625, 'other_row_cons': 1.9958333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.15, 'number_adjacent_col_facts': 0.5666666666666669, 'number_adjacent_block_facts': 0.001}"
27,28,"{'number_adjacent_facts_other_value': 0.7, 'number_other_facts_same_value': 3.3273809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 4.5, 'adjacent_row_used': 4.0009999999999994, 'adjacent_block_used': 1.001, 'other_col_cons': 1.5625, 'other_row_cons': 2.4958333333333336, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.15, 'number_adjacent_col_facts': 0.5666666666666669, 'number_adjacent_block_facts': 0.001}"
28,29,"{'number_adjacent_facts_other_value': 0.39999999999999997, 'number_other_facts_same_value': 3.5773809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 4.5, 'adjacent_row_used': 4.0009999999999994, 'adjacent_block_used': 1.001, 'other_col_cons': 1.5625, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.15, 'number_adjacent_col_facts': 0.06666666666666687, 'number_adjacent_block_facts': 0.001}"
29,30,"{'number_adjacent_facts_other_value': 0.19999999999999996, 'number_other_facts_same_value': 3.8273809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 4.5, 'adjacent_row_used': 4.0009999999999994, 'adjacent_block_used': 1.001, 'other_col_cons': 1.5625, 'other_row_cons': 3.2458333333333336, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.15, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 0.001}"
30,31,"{'number_adjacent_facts_other_value': 0.19999999999999996, 'number_other_facts_same_value': 3.8273809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 4.5, 'adjacent_row_used': 4.0009999999999994, 'adjacent_block_used': 1.001, 'other_col_cons': 1.5625, 'other_row_cons': 3.2458333333333336, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.15, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 0.001}"
31,32,"{'number_adjacent_facts_other_value': 0.6, 'number_other_facts_same_value': 3.8273809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 4.5, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 0.5009999999999999, 'other_col_cons': 1.8958333333333333, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.5499999999999998, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 0.001}"
32,33,"{'number_adjacent_facts_other_value': 0.6, 'number_other_facts_same_value': 3.8273809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 1.8958333333333333, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 1.5499999999999998, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 0.001}"
33,34,"{'number_adjacent_facts_other_value': 0.39999999999999997, 'number_other_facts_same_value': 4.0773809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 2.395833333333333, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 1.2999999999999998, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 0.001}"
