,iter,weights
0,1,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
1,2,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 0.5, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 2.0, 'adjacent_row_used': 0.001, 'adjacent_block_used': 2.0, 'other_col_cons': 1.75, 'other_row_cons': 2.0, 'other_block_cons': 1.75, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 2.0}"
2,3,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 0.5, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 2.0, 'adjacent_row_used': 0.001, 'adjacent_block_used': 2.0, 'other_col_cons': 1.75, 'other_row_cons': 2.0, 'other_block_cons': 1.75, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 2.0}"
3,4,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 0.9, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 1.0, 'adjacent_row_used': 1.001, 'adjacent_block_used': 3.0, 'other_col_cons': 2.75, 'other_row_cons': 2.0, 'other_block_cons': 0.75, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 2.0}"
4,5,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 1.2333333333333334, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 1.0, 'adjacent_row_used': 1.001, 'adjacent_block_used': 3.0, 'other_col_cons': 2.75, 'other_row_cons': 2.0, 'other_block_cons': 0.75, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 2.0}"
5,6,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 1.2333333333333334, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 1.0, 'adjacent_row_used': 1.001, 'adjacent_block_used': 3.0, 'other_col_cons': 2.75, 'other_row_cons': 2.0, 'other_block_cons': 1.0833333333333333, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 2.0}"
6,7,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 1.2333333333333334, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 1.0, 'adjacent_row_used': 1.001, 'adjacent_block_used': 3.0, 'other_col_cons': 2.75, 'other_row_cons': 2.0, 'other_block_cons': 1.4166666666666665, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 2.0}"
7,8,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 1.2333333333333334, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 1.0, 'adjacent_row_used': 1.001, 'adjacent_block_used': 3.0, 'other_col_cons': 2.75, 'other_row_cons': 2.0, 'other_block_cons': 1.7499999999999998, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 2.0}"
8,9,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 1.2333333333333334, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 1.0, 'adjacent_row_used': 2.001, 'adjacent_block_used': 3.0, 'other_col_cons': 2.75, 'other_row_cons': 2.0, 'other_block_cons': 1.7499999999999998, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 1.5, 'number_adjacent_block_facts': 1.8}"
9,10,"{'number_adjacent_facts_other_value': 2.5, 'number_other_facts_same_value': 1.2333333333333334, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 1.0, 'adjacent_row_used': 2.001, 'adjacent_block_used': 3.0, 'other_col_cons': 2.75, 'other_row_cons': 2.0, 'other_block_cons': 1.7499999999999998, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 1.5, 'number_adjacent_block_facts': 2.3}"
10,11,"{'number_adjacent_facts_other_value': 2.5, 'number_other_facts_same_value': 1.4833333333333334, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 1.0, 'adjacent_row_used': 2.001, 'adjacent_block_used': 3.0, 'other_col_cons': 2.75, 'other_row_cons': 2.0, 'other_block_cons': 1.7499999999999998, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 1.5, 'number_adjacent_block_facts': 2.3}"
11,12,"{'number_adjacent_facts_other_value': 2.5, 'number_other_facts_same_value': 1.7333333333333334, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 1.0, 'adjacent_row_used': 2.001, 'adjacent_block_used': 3.0, 'other_col_cons': 2.75, 'other_row_cons': 2.0, 'other_block_cons': 1.7499999999999998, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 1.5, 'number_adjacent_block_facts': 2.3}"
12,13,"{'number_adjacent_facts_other_value': 2.5, 'number_other_facts_same_value': 1.9333333333333333, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 1.0, 'adjacent_row_used': 2.001, 'adjacent_block_used': 3.0, 'other_col_cons': 2.75, 'other_row_cons': 2.0, 'other_block_cons': 1.7499999999999998, 'number_adjacent_row_facts': 2.5, 'number_adjacent_col_facts': 1.5, 'number_adjacent_block_facts': 2.3}"
