,iter,time exp 1,time exp 2
0,1,12.954324007034302,10.005064487457275
1,2,10.621434211730957,10.979544401168823
2,3,8.937891244888306,9.906221389770508
3,4,9.324344158172607,12.075412511825562
4,5,8.752658605575562,10.856545686721802
5,6,8.667803764343262,9.587597608566284
6,7,7.2580742835998535,8.448625802993774
7,8,7.600645303726196,9.23273253440857
8,9,9.097536325454712,10.112672328948975
9,10,9.39606261253357,12.803412914276123
10,11,8.745018005371094,11.70206618309021
11,12,6.996517658233643,10.893911600112915
12,13,7.13978123664856,11.778315305709839
13,14,5.654215097427368,8.093889474868774
14,15,5.890951156616211,7.300354957580566
15,16,5.836654901504517,7.48566746711731
16,17,4.547517538070679,11.396552085876465
17,18,6.5860490798950195,7.9935524463653564
18,19,5.2437968254089355,8.169774055480957
19,20,4.337327480316162,5.3720831871032715
20,21,3.691258430480957,7.595829010009766
21,22,8.727145910263062,10.891033172607422
22,23,3.2360916137695312,7.126620531082153
23,24,13.5126953125,15.163492679595947
24,25,5.2071757316589355,9.009212493896484
25,26,3.7546019554138184,6.756973028182983
26,27,4.606841564178467,7.0814759731292725
27,28,3.269495964050293,3.867856740951538
28,29,5.175023555755615,4.8828229904174805
29,30,5.466000318527222,7.542688369750977
30,31,3.7657666206359863,4.931729555130005
31,32,3.192188262939453,5.308722257614136
32,33,1.9353256225585938,2.5151422023773193
33,34,2.381228446960449,3.70070743560791
34,35,1.8552687168121338,2.4817683696746826
35,36,1.6382057666778564,2.3355255126953125
36,37,1.1184592247009277,2.842146158218384
37,38,2.113490343093872,3.8948004245758057
38,39,2.733377695083618,4.361111164093018
39,40,2.4629833698272705,5.034494876861572
40,41,1.3283767700195312,3.17171573638916
41,42,2.0232229232788086,10.029657363891602
42,43,1.101043939590454,2.7848217487335205
43,44,0.8641102313995361,2.3960633277893066
44,45,3.26440691947937,6.990472793579102
45,46,1.3749592304229736,3.146773338317871
46,47,1.4586427211761475,2.4461894035339355
47,48,0.7444019317626953,2.0908725261688232
48,49,1.3562588691711426,1.8738608360290527
49,50,0.9952349662780762,2.080563545227051
50,51,3.3884048461914062,1.419809341430664
51,52,2.376359224319458,3.7074644565582275
52,53,1.3620107173919678,4.216301441192627
53,54,2.6559669971466064,2.2036266326904297
54,55,0.9075632095336914,2.175633430480957
55,56,0.33968138694763184,2.9658896923065186
56,57,16.1630802154541,17.207695722579956
57,58,14.19423532485962,18.1435284614563
58,59,10.762862205505371,11.936532974243164
59,60,13.324503898620605,15.708439826965332
60,61,11.137736558914185,13.306065320968628
61,62,12.116194248199463,13.381290435791016
62,63,8.938212633132935,10.385030508041382
63,64,11.706518173217773,14.127829551696777
64,65,9.569029092788696,11.166170358657837
65,66,9.64106297492981,11.436816453933716
66,67,8.665282249450684,9.868587493896484
67,68,8.047768592834473,10.965225219726562
68,69,9.344752073287964,10.409703731536865
69,70,9.756945133209229,11.278801441192627
70,71,6.636152744293213,8.236597537994385
71,72,13.660311937332153,14.01088285446167
72,73,6.8685619831085205,7.800633668899536
73,74,5.571796894073486,7.237937927246094
74,75,4.019619464874268,5.989179611206055
75,76,5.1617043018341064,6.971613883972168
76,77,3.6761996746063232,5.892886638641357
77,78,3.8572511672973633,5.330024719238281
78,79,6.269133806228638,7.710985898971558
79,80,5.551806449890137,6.42408299446106
80,81,3.5596234798431396,9.807529926300049
81,82,3.09355092048645,6.723462820053101
82,83,2.5593507289886475,5.883569717407227
83,84,2.9833712577819824,4.113877296447754
84,85,2.266274929046631,18.174337148666382
85,86,2.234330892562866,6.834912538528442
86,87,2.8080368041992188,4.7294557094573975
87,88,2.3570096492767334,3.060905933380127
88,89,1.6116504669189453,5.945180177688599
89,90,2.432978630065918,3.632082939147949
90,91,4.936927080154419,6.794205188751221
91,92,2.486269950866699,6.986485481262207
92,93,3.138669967651367,8.190360307693481
93,94,5.6750147342681885,5.396255254745483
94,95,1.7565205097198486,4.005715608596802
95,96,1.2190711498260498,7.9177610874176025
96,97,3.5983269214630127,9.923607110977173
97,98,2.9432036876678467,4.434008598327637
98,99,2.0966904163360596,4.693447589874268
99,100,1.2857823371887207,4.407601833343506
100,101,1.5752875804901123,4.301941156387329
