,iter,weights
0,1,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
1,2,"{'number_adjacent_facts_other_value': 1.7777777777777777, 'number_other_facts_same_value': 1.5, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 2.0, 'adjacent_row_used': 0.001, 'adjacent_block_used': 2.0, 'other_col_cons': 2.0, 'other_row_cons': 2.0, 'other_block_cons': 1.75, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 1.6666666666666665}"
2,3,"{'number_adjacent_facts_other_value': 1.2777777777777777, 'number_other_facts_same_value': 1.8333333333333333, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 2.0, 'adjacent_row_used': 0.001, 'adjacent_block_used': 2.0, 'other_col_cons': 3.0, 'other_row_cons': 2.0, 'other_block_cons': 1.75, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 1.1666666666666665}"
3,4,"{'number_adjacent_facts_other_value': 1.2777777777777777, 'number_other_facts_same_value': 1.8333333333333333, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 2.0, 'adjacent_row_used': 1.001, 'adjacent_block_used': 1.0, 'other_col_cons': 3.0, 'other_row_cons': 2.0, 'other_block_cons': 2.75, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 1.1666666666666665}"
4,5,"{'number_adjacent_facts_other_value': 1.2777777777777777, 'number_other_facts_same_value': 1.8333333333333333, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 2.0, 'adjacent_row_used': 0.001, 'adjacent_block_used': 2.0, 'other_col_cons': 3.0, 'other_row_cons': 3.0, 'other_block_cons': 1.75, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 1.1666666666666665}"
