,labelled data,weights,regret
0,50,"[10.869047619047619, 0.001, 12.25, 0.001, 16.0, 15.001000000000001, 16.833333333333332, 0.001, 16.0, 5.001, 16.0, 12.25]",3.3084554703671216
1,100,"[23.66071428571429, 11.834333333333332, 12.25, 5.001, 16.0, 20.001, 26.0, 12.501, 6.833333333333334, 14.167666666666667, 20.875, 14.75]",2.8636391548514624
