grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_facts,number_adjacent_row_facts,number_other_constraints,number_other_facts,time
"[[0 0 0 0 7 5 0 0 0]
 [0 0 0 0 0 0 0 8 2]
 [3 0 0 9 0 0 4 0 7]
 [0 0 0 3 0 0 0 0 5]
 [0 0 0 0 0 1 2 4 0]
 [2 0 0 5 4 0 9 0 8]
 [0 0 3 0 5 0 8 9 0]
 [0 0 0 7 8 0 5 2 3]
 [0 0 0 0 0 0 0 0 1]]","[['FACT', [1, 8, 2]], ['FACT', [2, 8, 7]], ['FACT', [5, 6, 9]], ['FACT', [6, 7, 9]]]","[['COL', 6], ['COL', 7], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [0, 8, 9]]",3,4,1,2,0,0,0,1,0,2,0,2,2,0,2,2,1,2,0,2,2,9.560641288757324
"[[0 0 0 0 7 5 0 0 9]
 [0 0 0 0 0 0 0 8 2]
 [3 0 0 9 0 0 4 0 7]
 [0 0 0 3 0 0 0 0 5]
 [0 0 0 0 0 1 2 4 0]
 [2 0 0 5 4 0 9 0 8]
 [0 0 3 0 5 0 8 9 0]
 [0 0 0 7 8 0 5 2 3]
 [0 0 0 0 0 0 0 0 1]]","[['FACT', [2, 6, 4]], ['FACT', [4, 7, 4]], ['FACT', [7, 8, 3]], ['FACT', [8, 8, 1]]]","[['COL', 8], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [6, 8, 4]]",3,4,2,1,0,0,1,0,0,0,2,2,2,0,2,2,1,2,0,2,2,9.706598043441772
"[[0 0 0 0 7 5 0 0 9]
 [0 0 0 0 0 0 0 8 2]
 [3 0 0 9 0 0 4 0 7]
 [0 0 0 3 0 0 0 0 5]
 [0 0 0 0 0 1 2 4 0]
 [2 0 0 5 4 0 9 0 8]
 [0 0 3 0 5 0 8 9 4]
 [0 0 0 7 8 0 5 2 3]
 [0 0 0 0 0 0 0 0 1]]","[['FACT', [3, 3, 3]], ['FACT', [4, 6, 2]], ['FACT', [4, 7, 4]], ['FACT', [5, 6, 9]], ['FACT', [7, 8, 3]]]","[['ROW', 3], ['COL', 8], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [5, 7, 3]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,9.517234563827515
"[[0 0 0 0 7 5 0 0 9]
 [0 0 0 0 0 0 0 8 2]
 [3 0 0 9 0 0 4 0 7]
 [0 0 0 3 0 0 0 0 5]
 [0 0 0 0 0 1 2 4 0]
 [2 0 0 5 4 0 9 3 8]
 [0 0 3 0 5 0 8 9 4]
 [0 0 0 7 8 0 5 2 3]
 [0 0 0 0 0 0 0 0 1]]","[['FACT', [4, 5, 1]], ['FACT', [6, 4, 5]], ['FACT', [7, 3, 7]], ['FACT', [7, 4, 8]], ['FACT', [8, 8, 1]]]","[['ROW', 8], ['COL', 5], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [6, 3, 1]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,8.946073770523071
"[[0 0 0 0 7 5 0 0 9]
 [0 0 0 0 0 0 0 8 2]
 [3 0 0 9 0 0 4 0 7]
 [0 0 0 3 0 0 0 0 5]
 [0 0 0 0 0 1 2 4 0]
 [2 0 0 5 4 0 9 3 8]
 [0 0 3 1 5 0 8 9 4]
 [0 0 0 7 8 0 5 2 3]
 [0 0 0 0 0 0 0 0 1]]","[['FACT', [0, 5, 5]], ['FACT', [1, 7, 8]], ['FACT', [1, 8, 2]], ['FACT', [2, 8, 7]], ['FACT', [7, 6, 5]]]","[['ROW', 0], ['COL', 6], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [2, 7, 5]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,7.259188890457153
"[[0 0 0 0 7 5 0 0 9]
 [0 0 0 0 0 0 0 8 2]
 [3 0 0 9 0 0 4 5 7]
 [0 0 0 3 0 0 0 0 5]
 [0 0 0 0 0 1 2 4 0]
 [2 0 0 5 4 0 9 3 8]
 [0 0 3 1 5 0 8 9 4]
 [0 0 0 7 8 0 5 2 3]
 [0 0 0 0 0 0 0 0 1]]","[['FACT', [0, 8, 9]], ['FACT', [1, 8, 2]], ['FACT', [2, 8, 7]], ['FACT', [3, 8, 5]], ['FACT', [5, 8, 8]], ['FACT', [6, 8, 4]], ['FACT', [7, 8, 3]], ['FACT', [8, 8, 1]]]","[['COL', 8]]","['DERIVED', [4, 8, 6]]",1,8,0,1,0,0,1,0,0,0,0,8,0,0,2,8,1,8,0,0,0,7.298593759536743
"[[0 0 0 0 7 5 0 0 9]
 [0 0 0 0 0 0 0 8 2]
 [3 0 0 9 0 0 4 5 7]
 [0 0 0 3 0 0 0 0 5]
 [0 0 0 0 0 1 2 4 6]
 [2 0 0 5 4 0 9 3 8]
 [0 0 3 1 5 0 8 9 4]
 [0 0 0 7 8 0 5 2 3]
 [0 0 0 0 0 0 0 0 1]]","[['FACT', [2, 0, 3]], ['FACT', [3, 3, 3]], ['FACT', [5, 7, 3]], ['FACT', [6, 2, 3]]]","[['ROW', 5], ['ROW', 3], ['COL', 1], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [4, 1, 3]]",5,4,2,1,2,0,1,0,2,0,2,0,4,0,0,0,1,0,0,4,4,7.152898073196411
"[[0 0 0 0 7 5 0 0 9]
 [0 0 0 0 0 0 0 8 2]
 [3 0 0 9 0 0 4 5 7]
 [0 0 0 3 0 0 0 0 5]
 [0 3 0 0 0 1 2 4 6]
 [2 0 0 5 4 0 9 3 8]
 [0 0 3 1 5 0 8 9 4]
 [0 0 0 7 8 0 5 2 3]
 [0 0 0 0 0 0 0 0 1]]","[['FACT', [0, 4, 7]], ['FACT', [0, 5, 5]], ['FACT', [0, 8, 9]], ['FACT', [2, 0, 3]], ['FACT', [3, 3, 3]], ['FACT', [5, 7, 3]]]","[['ROW', 0], ['COL', 3], ['COL', 7], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [0, 6, 3]]",4,6,1,2,1,1,0,0,0,2,1,3,3,0,1,0,1,3,3,3,3,7.500859498977661
"[[0 0 0 0 7 5 3 0 9]
 [0 0 0 0 0 0 0 8 2]
 [3 0 0 9 0 0 4 5 7]
 [0 0 0 3 0 0 0 0 5]
 [0 3 0 0 0 1 2 4 6]
 [2 0 0 5 4 0 9 3 8]
 [0 0 3 1 5 0 8 9 4]
 [0 0 0 7 8 0 5 2 3]
 [0 0 0 0 0 0 0 0 1]]","[['FACT', [2, 3, 9]], ['FACT', [3, 3, 3]], ['FACT', [4, 5, 1]], ['FACT', [4, 6, 2]], ['FACT', [4, 7, 4]], ['FACT', [4, 8, 6]], ['FACT', [5, 3, 5]], ['FACT', [7, 3, 7]]]","[['ROW', 4], ['COL', 3]]","['DERIVED', [4, 3, 8]]",2,8,0,1,1,1,1,0,0,0,0,8,0,0,3,4,2,8,4,0,0,7.046285390853882
"[[0 0 0 0 7 5 3 0 9]
 [0 0 0 0 0 0 0 8 2]
 [3 0 0 9 0 0 4 5 7]
 [0 0 0 3 0 0 0 0 5]
 [0 3 0 8 0 1 2 4 6]
 [2 0 0 5 4 0 9 3 8]
 [0 0 3 1 5 0 8 9 4]
 [0 0 0 7 8 0 5 2 3]
 [0 0 0 0 0 0 0 0 1]]","[['FACT', [0, 5, 5]], ['FACT', [1, 7, 8]], ['FACT', [4, 3, 8]], ['FACT', [7, 4, 8]]]","[['ROW', 1], ['COL', 5], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [2, 5, 8]]",4,4,2,1,1,0,1,0,1,0,2,1,3,0,1,1,1,1,0,3,3,6.52126407623291
