grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_facts,number_adjacent_row_facts,number_other_constraints,number_other_facts,time
"[[0 4 6 1 3 0 0 0 5]
 [1 0 3 6 0 0 0 0 0]
 [0 7 0 0 0 0 0 0 0]
 [0 0 0 2 0 4 0 5 7]
 [3 0 0 0 8 0 4 0 0]
 [0 0 1 0 0 7 0 0 6]
 [0 1 0 0 0 0 0 0 0]
 [2 0 0 8 0 0 0 0 0]
 [0 8 4 7 0 3 0 0 0]]","[['FACT', [1, 2, 3]], ['FACT', [4, 0, 3]], ['FACT', [6, 1, 1]], ['FACT', [8, 1, 8]]]","[['COL', 0], ['COL', 2], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [7, 1, 3]]",3,4,1,2,0,0,0,1,0,2,0,2,2,0,2,2,1,2,0,2,2,9.805087089538574
"[[0 4 6 1 3 0 0 0 5]
 [1 0 3 6 0 0 0 0 0]
 [0 7 0 0 0 0 0 0 0]
 [0 0 0 2 0 4 0 5 7]
 [3 0 0 0 8 0 4 0 0]
 [0 0 1 0 0 7 0 0 6]
 [0 1 0 0 0 0 0 0 0]
 [2 3 0 8 0 0 0 0 0]
 [0 8 4 7 0 3 0 0 0]]","[['FACT', [0, 1, 4]], ['FACT', [3, 5, 4]], ['FACT', [4, 0, 3]], ['FACT', [8, 2, 4]]]","[['ROW', 3], ['COL', 1], ['COL', 2], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [5, 0, 4]]",4,4,1,2,1,0,0,1,1,2,0,1,3,0,1,1,1,1,0,3,3,9.239627838134766
"[[0 4 6 1 3 0 0 0 5]
 [1 0 3 6 0 0 0 0 0]
 [0 7 0 0 0 0 0 0 0]
 [0 0 0 2 0 4 0 5 7]
 [3 0 0 0 8 0 4 0 0]
 [4 0 1 0 0 7 0 0 6]
 [0 1 0 0 0 0 0 0 0]
 [2 3 0 8 0 0 0 0 0]
 [0 8 4 7 0 3 0 0 0]]","[['FACT', [0, 4, 3]], ['FACT', [3, 3, 2]], ['FACT', [4, 0, 3]], ['FACT', [8, 5, 3]]]","[['ROW', 4], ['COL', 3], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [5, 3, 3]]",4,4,2,1,1,0,1,0,1,0,2,1,3,0,1,1,1,1,0,3,3,9.134544372558594
"[[0 4 6 1 3 0 0 0 5]
 [1 0 3 6 0 0 0 0 0]
 [0 7 0 0 0 0 0 0 0]
 [0 0 0 2 0 4 0 5 7]
 [3 0 0 0 8 0 4 0 0]
 [4 0 1 3 0 7 0 0 6]
 [0 1 0 0 0 0 0 0 0]
 [2 3 0 8 0 0 0 0 0]
 [0 8 4 7 0 3 0 0 0]]","[['FACT', [3, 7, 5]], ['FACT', [3, 8, 7]], ['FACT', [4, 0, 3]], ['FACT', [5, 3, 3]]]","[['ROW', 3], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [3, 6, 3]]",3,4,2,0,1,1,0,0,0,0,2,2,2,0,2,0,1,2,2,2,2,7.212216377258301
"[[0 4 6 1 3 0 0 0 5]
 [1 0 3 6 0 0 0 0 0]
 [0 7 0 0 0 0 0 0 0]
 [0 0 0 2 0 4 3 5 7]
 [3 0 0 0 8 0 4 0 0]
 [4 0 1 3 0 7 0 0 6]
 [0 1 0 0 0 0 0 0 0]
 [2 3 0 8 0 0 0 0 0]
 [0 8 4 7 0 3 0 0 0]]","[['FACT', [0, 3, 1]], ['FACT', [0, 4, 3]], ['FACT', [1, 3, 6]], ['FACT', [2, 1, 7]], ['FACT', [5, 5, 7]]]","[['ROW', 2], ['COL', 5], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [1, 4, 7]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,8.987663507461548
"[[0 4 6 1 3 0 0 0 5]
 [1 0 3 6 7 0 0 0 0]
 [0 7 0 0 0 0 0 0 0]
 [0 0 0 2 0 4 3 5 7]
 [3 0 0 0 8 0 4 0 0]
 [4 0 1 3 0 7 0 0 6]
 [0 1 0 0 0 0 0 0 0]
 [2 3 0 8 0 0 0 0 0]
 [0 8 4 7 0 3 0 0 0]]","[['FACT', [2, 1, 7]], ['FACT', [3, 8, 7]], ['FACT', [4, 0, 3]], ['FACT', [5, 5, 7]]]","[['ROW', 5], ['ROW', 3], ['COL', 1], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [4, 2, 7]]",4,4,1,1,2,0,0,1,2,1,0,1,3,0,1,0,1,1,1,3,3,7.086073875427246
"[[0 4 6 1 3 0 0 0 5]
 [1 0 3 6 7 0 0 0 0]
 [0 7 0 0 0 0 0 0 0]
 [0 0 0 2 0 4 3 5 7]
 [3 0 7 0 8 0 4 0 0]
 [4 0 1 3 0 7 0 0 6]
 [0 1 0 0 0 0 0 0 0]
 [2 3 0 8 0 0 0 0 0]
 [0 8 4 7 0 3 0 0 0]]","[['FACT', [2, 1, 7]], ['FACT', [4, 2, 7]], ['FACT', [7, 0, 2]], ['FACT', [8, 3, 7]]]","[['ROW', 8], ['COL', 1], ['COL', 2], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [6, 0, 7]]",4,4,1,2,1,0,0,1,1,2,0,1,3,0,1,1,1,1,0,3,3,7.882021427154541
"[[0 4 6 1 3 0 0 0 5]
 [1 0 3 6 7 0 0 0 0]
 [0 7 0 0 0 0 0 0 0]
 [0 0 0 2 0 4 3 5 7]
 [3 0 7 0 8 0 4 0 0]
 [4 0 1 3 0 7 0 0 6]
 [7 1 0 0 0 0 0 0 0]
 [2 3 0 8 0 0 0 0 0]
 [0 8 4 7 0 3 0 0 0]]","[['FACT', [0, 2, 6]], ['FACT', [6, 0, 7]], ['FACT', [6, 1, 1]], ['FACT', [7, 0, 2]], ['FACT', [7, 1, 3]], ['FACT', [8, 1, 8]]]","[['COL', 2], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [8, 0, 6]]",2,6,1,1,0,0,0,1,0,1,0,5,1,0,5,2,1,5,1,1,1,6.915649175643921
"[[0 4 6 1 3 0 0 0 5]
 [1 0 3 6 7 0 0 0 0]
 [0 7 0 0 0 0 0 0 0]
 [0 0 0 2 0 4 3 5 7]
 [3 0 7 0 8 0 4 0 0]
 [4 0 1 3 0 7 0 0 6]
 [7 1 0 0 0 0 0 0 0]
 [2 3 0 8 0 0 0 0 0]
 [6 8 4 7 0 3 0 0 0]]","[['FACT', [3, 3, 2]], ['FACT', [3, 5, 4]], ['FACT', [3, 6, 3]], ['FACT', [3, 7, 5]], ['FACT', [3, 8, 7]], ['FACT', [5, 2, 1]]]","[['ROW', 3], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [3, 4, 1]]",2,6,1,0,1,1,0,0,0,0,1,5,1,0,2,0,1,5,5,1,1,6.723067045211792
"[[0 4 6 1 3 0 0 0 5]
 [1 0 3 6 7 0 0 0 0]
 [0 7 0 0 0 0 0 0 0]
 [0 0 0 2 1 4 3 5 7]
 [3 0 7 0 8 0 4 0 0]
 [4 0 1 3 0 7 0 0 6]
 [7 1 0 0 0 0 0 0 0]
 [2 3 0 8 0 0 0 0 0]
 [6 8 4 7 0 3 0 0 0]]","[['FACT', [1, 3, 6]], ['FACT', [3, 4, 1]], ['FACT', [3, 5, 4]], ['FACT', [4, 4, 8]], ['FACT', [5, 8, 6]]]","[['ROW', 5], ['COL', 3], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [4, 5, 6]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,6.270501375198364
