grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_facts,number_adjacent_row_facts,number_other_constraints,number_other_facts,time
"[[0 3 0 0 0 5 0 6 0]
 [0 0 0 0 0 0 3 0 7]
 [0 0 0 0 0 0 0 0 0]
 [0 0 9 5 0 0 0 8 0]
 [0 6 8 0 9 7 1 0 0]
 [1 0 3 0 6 0 0 9 0]
 [0 0 1 6 0 0 9 4 0]
 [5 0 4 0 0 0 0 0 8]
 [6 0 0 8 0 0 0 0 0]]","[['FACT', [0, 1, 3]], ['FACT', [5, 2, 3]], ['FACT', [7, 0, 5]], ['FACT', [8, 0, 6]]]","[['COL', 0], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [6, 0, 3]]",3,4,2,1,0,0,1,0,0,0,2,2,2,0,2,2,1,2,0,2,2,8.486274719238281
"[[0 3 0 0 0 5 0 6 0]
 [0 0 0 0 0 0 3 0 7]
 [0 0 0 0 0 0 0 0 0]
 [0 0 9 5 0 0 0 8 0]
 [0 6 8 0 9 7 1 0 0]
 [1 0 3 0 6 0 0 9 0]
 [3 0 1 6 0 0 9 4 0]
 [5 0 4 0 0 0 0 0 8]
 [6 0 0 8 0 0 0 0 0]]","[['FACT', [6, 0, 3]], ['FACT', [6, 2, 1]], ['FACT', [7, 8, 8]], ['FACT', [8, 3, 8]]]","[['ROW', 6], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [6, 1, 8]]",3,4,2,0,1,1,0,0,0,0,2,2,2,0,2,0,1,2,2,2,2,8.782368898391724
"[[0 3 0 0 0 5 0 6 0]
 [0 0 0 0 0 0 3 0 7]
 [0 0 0 0 0 0 0 0 0]
 [0 0 9 5 0 0 0 8 0]
 [0 6 8 0 9 7 1 0 0]
 [1 0 3 0 6 0 0 9 0]
 [3 8 1 6 0 0 9 4 0]
 [5 0 4 0 0 0 0 0 8]
 [6 0 0 8 0 0 0 0 0]]","[['FACT', [3, 3, 5]], ['FACT', [4, 1, 6]], ['FACT', [4, 2, 8]], ['FACT', [5, 2, 3]], ['FACT', [7, 0, 5]]]","[['ROW', 3], ['COL', 0], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [5, 1, 5]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,8.336918830871582
"[[0 3 0 0 0 5 0 6 0]
 [0 0 0 0 0 0 3 0 7]
 [0 0 0 0 0 0 0 0 0]
 [0 0 9 5 0 0 0 8 0]
 [0 6 8 0 9 7 1 0 0]
 [1 5 3 0 6 0 0 9 0]
 [3 8 1 6 0 0 9 4 0]
 [5 0 4 0 0 0 0 0 8]
 [6 0 0 8 0 0 0 0 0]]","[['FACT', [0, 7, 6]], ['FACT', [6, 3, 6]], ['FACT', [7, 8, 8]], ['FACT', [8, 0, 6]]]","[['ROW', 8], ['ROW', 6], ['COL', 7], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [7, 6, 6]]",4,4,1,1,2,0,0,1,2,1,0,1,3,0,1,0,1,1,1,3,3,8.68366003036499
"[[0 3 0 0 0 5 0 6 0]
 [0 0 0 0 0 0 3 0 7]
 [0 0 0 0 0 0 0 0 0]
 [0 0 9 5 0 0 0 8 0]
 [0 6 8 0 9 7 1 0 0]
 [1 5 3 0 6 0 0 9 0]
 [3 8 1 6 0 0 9 4 0]
 [5 0 4 0 0 0 6 0 8]
 [6 0 0 8 0 0 0 0 0]]","[['FACT', [3, 7, 8]], ['FACT', [4, 4, 9]], ['FACT', [4, 5, 7]], ['FACT', [5, 4, 6]], ['FACT', [8, 3, 8]]]","[['ROW', 3], ['COL', 3], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [5, 5, 8]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,6.998871326446533
"[[0 3 0 0 0 5 0 6 0]
 [0 0 0 0 0 0 3 0 7]
 [0 0 0 0 0 0 0 0 0]
 [0 0 9 5 0 0 0 8 0]
 [0 6 8 0 9 7 1 0 0]
 [1 5 3 0 6 8 0 9 0]
 [3 8 1 6 0 0 9 4 0]
 [5 0 4 0 0 0 6 0 8]
 [6 0 0 8 0 0 0 0 0]]","[['FACT', [3, 7, 8]], ['FACT', [4, 1, 6]], ['FACT', [5, 4, 6]], ['FACT', [7, 6, 6]]]","[['ROW', 5], ['ROW', 4], ['COL', 6], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [3, 8, 6]]",4,4,1,1,2,0,0,1,2,1,0,1,3,0,1,0,1,1,1,3,3,7.4880242347717285
"[[0 3 0 0 0 5 0 6 0]
 [0 0 0 0 0 0 3 0 7]
 [0 0 0 0 0 0 0 0 0]
 [0 0 9 5 0 0 0 8 6]
 [0 6 8 0 9 7 1 0 0]
 [1 5 3 0 6 8 0 9 0]
 [3 8 1 6 0 0 9 4 0]
 [5 0 4 0 0 0 6 0 8]
 [6 0 0 8 0 0 0 0 0]]","[['FACT', [1, 8, 7]], ['FACT', [4, 5, 7]], ['FACT', [5, 0, 1]], ['FACT', [5, 1, 5]], ['FACT', [5, 2, 3]], ['FACT', [5, 7, 9]]]","[['ROW', 5], ['COL', 8], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [5, 6, 7]]",3,6,1,1,1,1,0,0,0,1,1,4,2,0,1,0,1,4,4,2,2,5.541558027267456
"[[0 3 0 0 0 5 0 6 0]
 [0 0 0 0 0 0 3 0 7]
 [0 0 0 0 0 0 0 0 0]
 [0 0 9 5 0 0 0 8 6]
 [0 6 8 0 9 7 1 0 0]
 [1 5 3 0 6 8 7 9 0]
 [3 8 1 6 0 0 9 4 0]
 [5 0 4 0 0 0 6 0 8]
 [6 0 0 8 0 0 0 0 0]]","[['FACT', [0, 5, 5]], ['FACT', [4, 5, 7]], ['FACT', [5, 5, 8]], ['FACT', [6, 0, 3]], ['FACT', [6, 2, 1]], ['FACT', [6, 3, 6]], ['FACT', [6, 6, 9]], ['FACT', [6, 7, 4]]]","[['ROW', 6], ['COL', 5]]","['DERIVED', [6, 5, 2]]",2,8,0,1,1,1,1,0,0,0,0,8,0,0,1,3,2,8,5,0,0,6.321459054946899
"[[0 3 0 0 0 5 0 6 0]
 [0 0 0 0 0 0 3 0 7]
 [0 0 0 0 0 0 0 0 0]
 [0 0 9 5 0 0 0 8 6]
 [0 6 8 0 9 7 1 0 0]
 [1 5 3 0 6 8 7 9 0]
 [3 8 1 6 0 2 9 4 0]
 [5 0 4 0 0 0 6 0 8]
 [6 0 0 8 0 0 0 0 0]]","[['FACT', [1, 8, 7]], ['FACT', [6, 0, 3]], ['FACT', [6, 2, 1]], ['FACT', [6, 3, 6]], ['FACT', [6, 5, 2]], ['FACT', [6, 6, 9]], ['FACT', [6, 7, 4]], ['FACT', [7, 8, 8]]]","[['ROW', 6], ['COL', 8]]","['DERIVED', [6, 8, 5]]",2,8,0,1,1,1,1,0,0,0,0,8,0,0,3,2,2,8,6,0,0,5.748767137527466
"[[0 3 0 0 0 5 0 6 0]
 [0 0 0 0 0 0 3 0 7]
 [0 0 0 0 0 0 0 0 0]
 [0 0 9 5 0 0 0 8 6]
 [0 6 8 0 9 7 1 0 0]
 [1 5 3 0 6 8 7 9 0]
 [3 8 1 6 0 2 9 4 5]
 [5 0 4 0 0 0 6 0 8]
 [6 0 0 8 0 0 0 0 0]]","[['FACT', [0, 5, 5]], ['FACT', [6, 8, 5]], ['FACT', [7, 0, 5]], ['FACT', [8, 3, 8]]]","[['ROW', 7], ['ROW', 6], ['COL', 5], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [8, 4, 5]]",4,4,1,1,2,0,0,1,2,1,0,1,3,0,1,0,1,1,1,3,3,5.060635089874268
