grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_facts,number_adjacent_row_facts,number_other_constraints,number_other_facts,time
"[[5 0 7 0 1 0 0 8 0]
 [0 0 0 0 0 0 0 2 4]
 [2 0 3 0 7 6 5 0 0]
 [0 5 0 0 0 0 1 0 2]
 [0 6 4 7 0 5 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 1 5 0 0 0 0]
 [0 0 0 6 0 3 4 5 1]
 [0 0 0 0 8 0 0 0 0]]","[['FACT', [0, 2, 7]], ['FACT', [1, 7, 2]], ['FACT', [1, 8, 4]], ['FACT', [2, 4, 7]]]","[['ROW', 0], ['ROW', 2], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [1, 6, 7]]",3,4,1,0,2,0,0,1,2,0,0,2,2,0,2,0,1,2,2,2,2,8.473651885986328
"[[5 0 7 0 1 0 0 8 0]
 [0 0 0 0 0 0 7 2 4]
 [2 0 3 0 7 6 5 0 0]
 [0 5 0 0 0 0 1 0 2]
 [0 6 4 7 0 5 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 1 5 0 0 0 0]
 [0 0 0 6 0 3 4 5 1]
 [0 0 0 0 8 0 0 0 0]]","[['FACT', [0, 7, 8]], ['FACT', [1, 7, 2]], ['FACT', [3, 6, 1]], ['FACT', [7, 8, 1]]]","[['COL', 6], ['COL', 8], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [2, 7, 1]]",3,4,1,2,0,0,0,1,0,2,0,2,2,0,2,2,1,2,0,2,2,7.262314081192017
"[[5 0 7 0 1 0 0 8 0]
 [0 0 0 0 0 0 7 2 4]
 [2 0 3 0 7 6 5 1 0]
 [0 5 0 0 0 0 1 0 2]
 [0 6 4 7 0 5 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 1 5 0 0 0 0]
 [0 0 0 6 0 3 4 5 1]
 [0 0 0 0 8 0 0 0 0]]","[['FACT', [0, 4, 1]], ['FACT', [3, 6, 1]], ['FACT', [4, 5, 5]], ['FACT', [6, 3, 1]]]","[['ROW', 3], ['COL', 5], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [5, 5, 1]]",4,4,2,1,1,0,1,0,1,0,2,1,3,0,1,1,1,1,0,3,3,7.091086387634277
"[[5 0 7 0 1 0 0 8 0]
 [0 0 0 0 0 0 7 2 4]
 [2 0 3 0 7 6 5 1 0]
 [0 5 0 0 0 0 1 0 2]
 [0 6 4 7 0 5 0 0 0]
 [0 0 0 0 0 1 0 0 0]
 [0 0 0 1 5 0 0 0 0]
 [0 0 0 6 0 3 4 5 1]
 [0 0 0 0 8 0 0 0 0]]","[['FACT', [3, 6, 1]], ['FACT', [4, 1, 6]], ['FACT', [4, 2, 4]], ['FACT', [5, 5, 1]]]","[['ROW', 4], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [4, 0, 1]]",3,4,2,0,1,1,0,0,0,0,2,2,2,0,2,0,1,2,2,2,2,6.389459609985352
"[[5 0 7 0 1 0 0 8 0]
 [0 0 0 0 0 0 7 2 4]
 [2 0 3 0 7 6 5 1 0]
 [0 5 0 0 0 0 1 0 2]
 [1 6 4 7 0 5 0 0 0]
 [0 0 0 0 0 1 0 0 0]
 [0 0 0 1 5 0 0 0 0]
 [0 0 0 6 0 3 4 5 1]
 [0 0 0 0 8 0 0 0 0]]","[['FACT', [3, 8, 2]], ['FACT', [4, 0, 1]], ['FACT', [4, 1, 6]], ['FACT', [4, 2, 4]], ['FACT', [4, 3, 7]], ['FACT', [4, 5, 5]]]","[['ROW', 4], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [4, 4, 2]]",2,6,1,0,1,1,0,0,0,0,1,5,1,0,2,0,1,5,5,1,1,7.118444919586182
"[[5 0 7 0 1 0 0 8 0]
 [0 0 0 0 0 0 7 2 4]
 [2 0 3 0 7 6 5 1 0]
 [0 5 0 0 0 0 1 0 2]
 [1 6 4 7 2 5 0 0 0]
 [0 0 0 0 0 1 0 0 0]
 [0 0 0 1 5 0 0 0 0]
 [0 0 0 6 0 3 4 5 1]
 [0 0 0 0 8 0 0 0 0]]","[['FACT', [2, 6, 5]], ['FACT', [3, 8, 2]], ['FACT', [4, 5, 5]], ['FACT', [7, 7, 5]]]","[['ROW', 4], ['COL', 8], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [5, 8, 5]]",4,4,2,1,1,0,1,0,1,0,2,1,3,0,1,1,1,1,0,3,3,6.863258123397827
"[[5 0 7 0 1 0 0 8 0]
 [0 0 0 0 0 0 7 2 4]
 [2 0 3 0 7 6 5 1 0]
 [0 5 0 0 0 0 1 0 2]
 [1 6 4 7 2 5 0 0 0]
 [0 0 0 0 0 1 0 0 5]
 [0 0 0 1 5 0 0 0 0]
 [0 0 0 6 0 3 4 5 1]
 [0 0 0 0 8 0 0 0 0]]","[['FACT', [0, 0, 5]], ['FACT', [3, 1, 5]], ['FACT', [6, 4, 5]], ['FACT', [7, 7, 5]]]","[['ROW', 7], ['ROW', 6], ['COL', 0], ['COL', 1], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [8, 2, 5]]",5,4,1,2,2,0,0,1,2,2,0,0,4,0,0,0,1,0,0,4,4,7.146753549575806
"[[5 0 7 0 1 0 0 8 0]
 [0 0 0 0 0 0 7 2 4]
 [2 0 3 0 7 6 5 1 0]
 [0 5 0 0 0 0 1 0 2]
 [1 6 4 7 2 5 0 0 0]
 [0 0 0 0 0 1 0 0 5]
 [0 0 0 1 5 0 0 0 0]
 [0 0 0 6 0 3 4 5 1]
 [0 0 5 0 8 0 0 0 0]]","[['FACT', [4, 0, 1]], ['FACT', [6, 3, 1]], ['FACT', [7, 8, 1]], ['FACT', [8, 2, 5]]]","[['ROW', 8], ['COL', 0], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [8, 1, 1]]",4,4,2,1,1,1,0,0,0,1,2,1,3,0,1,0,1,1,1,3,3,5.169743776321411
"[[5 0 7 0 1 0 0 8 0]
 [0 0 0 0 0 0 7 2 4]
 [2 0 3 0 7 6 5 1 0]
 [0 5 0 0 0 0 1 0 2]
 [1 6 4 7 2 5 0 0 0]
 [0 0 0 0 0 1 0 0 5]
 [0 0 0 1 5 0 0 0 0]
 [0 0 0 6 0 3 4 5 1]
 [0 1 5 0 8 0 0 0 0]]","[['FACT', [0, 2, 7]], ['FACT', [2, 2, 3]], ['FACT', [4, 0, 1]], ['FACT', [8, 1, 1]]]","[['COL', 2], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [1, 2, 1]]",3,4,2,1,0,0,1,0,0,0,2,2,2,0,2,2,1,2,0,2,2,4.947310447692871
"[[5 0 7 0 1 0 0 8 0]
 [0 0 1 0 0 0 7 2 4]
 [2 0 3 0 7 6 5 1 0]
 [0 5 0 0 0 0 1 0 2]
 [1 6 4 7 2 5 0 0 0]
 [0 0 0 0 0 1 0 0 5]
 [0 0 0 1 5 0 0 0 0]
 [0 0 0 6 0 3 4 5 1]
 [0 1 5 0 8 0 0 0 0]]","[['FACT', [0, 0, 5]], ['FACT', [0, 2, 7]], ['FACT', [1, 2, 1]], ['FACT', [2, 0, 2]], ['FACT', [2, 2, 3]], ['FACT', [4, 1, 6]]]","[['COL', 1], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [1, 0, 6]]",2,6,1,1,0,0,0,1,0,1,0,5,1,0,5,2,1,5,1,1,1,5.389337539672852
