grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_facts,number_adjacent_row_facts,number_other_constraints,number_other_facts,time
"[[4 0 0 0 0 0 2 0 6]
 [0 0 0 3 2 0 0 0 0]
 [0 0 0 0 1 0 9 0 4]
 [9 0 6 0 0 1 0 0 0]
 [7 2 0 0 0 0 6 0 9]
 [3 4 0 6 0 0 1 0 5]
 [0 0 0 0 0 3 0 0 1]
 [0 0 0 0 7 9 0 0 0]
 [0 0 2 0 4 0 7 0 0]]","[['FACT', [3, 5, 1]], ['FACT', [4, 0, 7]], ['FACT', [4, 1, 2]], ['FACT', [5, 6, 1]]]","[['ROW', 5], ['ROW', 3], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [4, 2, 1]]",3,4,1,0,2,0,0,1,2,0,0,2,2,0,2,0,1,2,2,2,2,8.715393304824829
"[[4 0 0 0 0 0 2 0 6]
 [0 0 0 3 2 0 0 0 0]
 [0 0 0 0 1 0 9 0 4]
 [9 0 6 0 0 1 0 0 0]
 [7 2 1 0 0 0 6 0 9]
 [3 4 0 6 0 0 1 0 5]
 [0 0 0 0 0 3 0 0 1]
 [0 0 0 0 7 9 0 0 0]
 [0 0 2 0 4 0 7 0 0]]","[['FACT', [0, 0, 4]], ['FACT', [1, 3, 3]], ['FACT', [1, 4, 2]], ['FACT', [2, 8, 4]]]","[['ROW', 0], ['ROW', 2], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [1, 5, 4]]",3,4,1,0,2,0,0,1,2,0,0,2,2,0,2,0,1,2,2,2,2,8.466423273086548
"[[4 0 0 0 0 0 2 0 6]
 [0 0 0 3 2 4 0 0 0]
 [0 0 0 0 1 0 9 0 4]
 [9 0 6 0 0 1 0 0 0]
 [7 2 1 0 0 0 6 0 9]
 [3 4 0 6 0 0 1 0 5]
 [0 0 0 0 0 3 0 0 1]
 [0 0 0 0 7 9 0 0 0]
 [0 0 2 0 4 0 7 0 0]]","[['FACT', [3, 0, 9]], ['FACT', [3, 2, 6]], ['FACT', [4, 0, 7]], ['FACT', [4, 1, 2]], ['FACT', [4, 2, 1]], ['FACT', [5, 8, 5]]]","[['ROW', 5], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [3, 1, 5]]",2,6,1,0,1,0,0,1,1,0,0,5,1,0,5,1,1,5,2,1,1,8.185887575149536
"[[4 0 0 0 0 0 2 0 6]
 [0 0 0 3 2 4 0 0 0]
 [0 0 0 0 1 0 9 0 4]
 [9 5 6 0 0 1 0 0 0]
 [7 2 1 0 0 0 6 0 9]
 [3 4 0 6 0 0 1 0 5]
 [0 0 0 0 0 3 0 0 1]
 [0 0 0 0 7 9 0 0 0]
 [0 0 2 0 4 0 7 0 0]]","[['FACT', [3, 0, 9]], ['FACT', [4, 8, 9]], ['FACT', [5, 3, 6]], ['FACT', [7, 5, 9]]]","[['ROW', 5], ['COL', 5], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [5, 4, 9]]",4,4,2,1,1,1,0,0,0,1,2,1,3,0,1,0,1,1,1,3,3,6.876122236251831
"[[4 0 0 0 0 0 2 0 6]
 [0 0 0 3 2 4 0 0 0]
 [0 0 0 0 1 0 9 0 4]
 [9 5 6 0 0 1 0 0 0]
 [7 2 1 0 0 0 6 0 9]
 [3 4 0 6 9 0 1 0 5]
 [0 0 0 0 0 3 0 0 1]
 [0 0 0 0 7 9 0 0 0]
 [0 0 2 0 4 0 7 0 0]]","[['FACT', [0, 8, 6]], ['FACT', [1, 4, 2]], ['FACT', [1, 5, 4]], ['FACT', [2, 4, 1]], ['FACT', [5, 3, 6]]]","[['ROW', 0], ['COL', 3], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [2, 5, 6]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,7.898352146148682
"[[4 0 0 0 0 0 2 0 6]
 [0 0 0 3 2 4 0 0 0]
 [0 0 0 0 1 6 9 0 4]
 [9 5 6 0 0 1 0 0 0]
 [7 2 1 0 0 0 6 0 9]
 [3 4 0 6 9 0 1 0 5]
 [0 0 0 0 0 3 0 0 1]
 [0 0 0 0 7 9 0 0 0]
 [0 0 2 0 4 0 7 0 0]]","[['FACT', [2, 5, 6]], ['FACT', [5, 3, 6]], ['FACT', [7, 4, 7]], ['FACT', [8, 4, 4]]]","[['COL', 3], ['COL', 5], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [6, 4, 6]]",3,4,1,2,0,0,0,1,0,2,0,2,2,0,2,2,1,2,0,2,2,7.235585927963257
"[[4 0 0 0 0 0 2 0 6]
 [0 0 0 3 2 4 0 0 0]
 [0 0 0 0 1 6 9 0 4]
 [9 5 6 0 0 1 0 0 0]
 [7 2 1 0 0 0 6 0 9]
 [3 4 0 6 9 0 1 0 5]
 [0 0 0 0 6 3 0 0 1]
 [0 0 0 0 7 9 0 0 0]
 [0 0 2 0 4 0 7 0 0]]","[['FACT', [0, 0, 4]], ['FACT', [1, 4, 2]], ['FACT', [4, 1, 2]], ['FACT', [8, 2, 2]]]","[['ROW', 1], ['COL', 2], ['COL', 1], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [2, 0, 2]]",4,4,1,2,1,0,0,1,1,2,0,1,3,0,1,1,1,1,0,3,3,6.81028151512146
"[[4 0 0 0 0 0 2 0 6]
 [0 0 0 3 2 4 0 0 0]
 [2 0 0 0 1 6 9 0 4]
 [9 5 6 0 0 1 0 0 0]
 [7 2 1 0 0 0 6 0 9]
 [3 4 0 6 9 0 1 0 5]
 [0 0 0 0 6 3 0 0 1]
 [0 0 0 0 7 9 0 0 0]
 [0 0 2 0 4 0 7 0 0]]","[['FACT', [1, 3, 3]], ['FACT', [2, 6, 9]], ['FACT', [5, 4, 9]], ['FACT', [7, 5, 9]]]","[['ROW', 2], ['COL', 3], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [0, 3, 9]]",4,4,2,1,1,0,1,0,1,0,2,1,3,0,1,1,1,1,0,3,3,5.376616954803467
"[[4 0 0 9 0 0 2 0 6]
 [0 0 0 3 2 4 0 0 0]
 [2 0 0 0 1 6 9 0 4]
 [9 5 6 0 0 1 0 0 0]
 [7 2 1 0 0 0 6 0 9]
 [3 4 0 6 9 0 1 0 5]
 [0 0 0 0 6 3 0 0 1]
 [0 0 0 0 7 9 0 0 0]
 [0 0 2 0 4 0 7 0 0]]","[['FACT', [3, 0, 9]], ['FACT', [3, 1, 5]], ['FACT', [3, 2, 6]], ['FACT', [4, 0, 7]], ['FACT', [4, 1, 2]], ['FACT', [4, 2, 1]], ['FACT', [5, 0, 3]], ['FACT', [5, 1, 4]]]","[['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [5, 2, 8]]",1,8,1,0,0,0,0,1,0,0,0,8,0,0,8,2,1,8,2,0,0,5.804391384124756
"[[4 0 0 9 0 0 2 0 6]
 [0 0 0 3 2 4 0 0 0]
 [2 0 0 0 1 6 9 0 4]
 [9 5 6 0 0 1 0 0 0]
 [7 2 1 0 0 0 6 0 9]
 [3 4 8 6 9 0 1 0 5]
 [0 0 0 0 6 3 0 0 1]
 [0 0 0 0 7 9 0 0 0]
 [0 0 2 0 4 0 7 0 0]]","[['FACT', [1, 4, 2]], ['FACT', [3, 5, 1]], ['FACT', [4, 1, 2]], ['FACT', [6, 5, 3]], ['FACT', [7, 5, 9]], ['FACT', [8, 2, 2]]]","[['ROW', 4], ['ROW', 8], ['COL', 5], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [5, 5, 2]]",4,6,1,1,2,0,1,0,2,0,1,3,3,0,1,3,1,3,0,3,3,5.4279210567474365
