grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_facts,number_adjacent_row_facts,number_other_constraints,number_other_facts,time
"[[0 3 0 0 9 0 2 0 1]
 [2 0 4 0 0 1 0 0 7]
 [0 0 7 0 0 0 0 4 0]
 [9 0 0 6 5 7 0 0 0]
 [0 0 2 0 0 0 5 0 0]
 [7 0 0 2 0 0 1 0 9]
 [0 5 0 0 0 0 0 0 0]
 [0 0 0 0 0 2 0 0 0]
 [0 0 1 0 3 9 0 0 0]]","[['FACT', [0, 4, 9]], ['FACT', [3, 3, 6]], ['FACT', [5, 3, 2]], ['FACT', [8, 5, 9]]]","[['COL', 3], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [4, 3, 9]]",3,4,2,1,0,0,1,0,0,0,2,2,2,0,2,2,1,2,0,2,2,8.351167678833008
"[[0 3 0 0 9 0 2 0 1]
 [2 0 4 0 0 1 0 0 7]
 [0 0 7 0 0 0 0 4 0]
 [9 0 0 6 5 7 0 0 0]
 [0 0 2 9 0 0 5 0 0]
 [7 0 0 2 0 0 1 0 9]
 [0 5 0 0 0 0 0 0 0]
 [0 0 0 0 0 2 0 0 0]
 [0 0 1 0 3 9 0 0 0]]","[['FACT', [1, 5, 1]], ['FACT', [3, 3, 6]], ['FACT', [3, 4, 5]], ['FACT', [4, 3, 9]], ['FACT', [5, 6, 1]]]","[['ROW', 5], ['COL', 5], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [4, 4, 1]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,7.9469850063323975
"[[0 3 0 0 9 0 2 0 1]
 [2 0 4 0 0 1 0 0 7]
 [0 0 7 0 0 0 0 4 0]
 [9 0 0 6 5 7 0 0 0]
 [0 0 2 9 1 0 5 0 0]
 [7 0 0 2 0 0 1 0 9]
 [0 5 0 0 0 0 0 0 0]
 [0 0 0 0 0 2 0 0 0]
 [0 0 1 0 3 9 0 0 0]]","[['FACT', [1, 0, 2]], ['FACT', [4, 2, 2]], ['FACT', [6, 1, 5]], ['FACT', [7, 5, 2]]]","[['ROW', 7], ['COL', 1], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [8, 1, 2]]",4,4,2,1,1,0,1,0,1,0,2,1,3,0,1,1,1,1,0,3,3,8.652040004730225
"[[0 3 0 0 9 0 2 0 1]
 [2 0 4 0 0 1 0 0 7]
 [0 0 7 0 0 0 0 4 0]
 [9 0 0 6 5 7 0 0 0]
 [0 0 2 9 1 0 5 0 0]
 [7 0 0 2 0 0 1 0 9]
 [0 5 0 0 0 0 0 0 0]
 [0 0 0 0 0 2 0 0 0]
 [0 2 1 0 3 9 0 0 0]]","[['FACT', [2, 2, 7]], ['FACT', [5, 0, 7]], ['FACT', [6, 1, 5]], ['FACT', [8, 1, 2]]]","[['COL', 2], ['COL', 0], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [7, 1, 7]]",3,4,1,2,0,0,0,1,0,2,0,2,2,0,2,2,1,2,0,2,2,7.056765556335449
"[[0 3 0 0 9 0 2 0 1]
 [2 0 4 0 0 1 0 0 7]
 [0 0 7 0 0 0 0 4 0]
 [9 0 0 6 5 7 0 0 0]
 [0 0 2 9 1 0 5 0 0]
 [7 0 0 2 0 0 1 0 9]
 [0 5 0 0 0 0 0 0 0]
 [0 7 0 0 0 2 0 0 0]
 [0 2 1 0 3 9 0 0 0]]","[['FACT', [0, 4, 9]], ['FACT', [1, 8, 7]], ['FACT', [2, 2, 7]], ['FACT', [3, 5, 7]]]","[['ROW', 0], ['COL', 5], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [0, 3, 7]]",4,4,2,1,1,1,0,0,0,1,2,1,3,0,1,0,1,1,1,3,3,7.536308765411377
"[[0 3 0 7 9 0 2 0 1]
 [2 0 4 0 0 1 0 0 7]
 [0 0 7 0 0 0 0 4 0]
 [9 0 0 6 5 7 0 0 0]
 [0 0 2 9 1 0 5 0 0]
 [7 0 0 2 0 0 1 0 9]
 [0 5 0 0 0 0 0 0 0]
 [0 7 0 0 0 2 0 0 0]
 [0 2 1 0 3 9 0 0 0]]","[['FACT', [0, 3, 7]], ['FACT', [0, 4, 9]], ['FACT', [1, 2, 4]], ['FACT', [2, 7, 4]]]","[['ROW', 0], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [0, 5, 4]]",3,4,2,0,1,1,0,0,0,0,2,2,2,0,2,0,1,2,2,2,2,7.325699090957642
"[[0 3 0 7 9 4 2 0 1]
 [2 0 4 0 0 1 0 0 7]
 [0 0 7 0 0 0 0 4 0]
 [9 0 0 6 5 7 0 0 0]
 [0 0 2 9 1 0 5 0 0]
 [7 0 0 2 0 0 1 0 9]
 [0 5 0 0 0 0 0 0 0]
 [0 7 0 0 0 2 0 0 0]
 [0 2 1 0 3 9 0 0 0]]","[['FACT', [3, 4, 5]], ['FACT', [4, 6, 5]], ['FACT', [5, 0, 7]], ['FACT', [6, 1, 5]]]","[['ROW', 3], ['ROW', 4], ['COL', 1], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [5, 2, 5]]",4,4,1,1,2,0,0,1,2,1,0,1,3,0,1,0,1,1,1,3,3,6.716345548629761
"[[0 3 0 7 9 4 2 0 1]
 [2 0 4 0 0 1 0 0 7]
 [0 0 7 0 0 0 0 4 0]
 [9 0 0 6 5 7 0 0 0]
 [0 0 2 9 1 0 5 0 0]
 [7 0 5 2 0 0 1 0 9]
 [0 5 0 0 0 0 0 0 0]
 [0 7 0 0 0 2 0 0 0]
 [0 2 1 0 3 9 0 0 0]]","[['FACT', [0, 5, 4]], ['FACT', [3, 3, 6]], ['FACT', [3, 4, 5]], ['FACT', [4, 3, 9]], ['FACT', [4, 4, 1]], ['FACT', [5, 3, 2]]]","[['COL', 5], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [5, 4, 4]]",2,6,1,1,0,0,0,1,0,1,0,5,1,0,5,2,1,5,1,1,1,5.875164747238159
"[[0 3 0 7 9 4 2 0 1]
 [2 0 4 0 0 1 0 0 7]
 [0 0 7 0 0 0 0 4 0]
 [9 0 0 6 5 7 0 0 0]
 [0 0 2 9 1 0 5 0 0]
 [7 0 5 2 4 0 1 0 9]
 [0 5 0 0 0 0 0 0 0]
 [0 7 0 0 0 2 0 0 0]
 [0 2 1 0 3 9 0 0 0]]","[['FACT', [0, 3, 7]], ['FACT', [3, 5, 7]], ['FACT', [7, 1, 7]], ['FACT', [8, 4, 3]]]","[['ROW', 7], ['COL', 4], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [6, 4, 7]]",4,4,2,1,1,0,1,0,1,0,2,1,3,0,1,1,1,1,0,3,3,7.098001956939697
"[[0 3 0 7 9 4 2 0 1]
 [2 0 4 0 0 1 0 0 7]
 [0 0 7 0 0 0 0 4 0]
 [9 0 0 6 5 7 0 0 0]
 [0 0 2 9 1 0 5 0 0]
 [7 0 5 2 4 0 1 0 9]
 [0 5 0 0 7 0 0 0 0]
 [0 7 0 0 0 2 0 0 0]
 [0 2 1 0 3 9 0 0 0]]","[['FACT', [3, 0, 9]], ['FACT', [4, 4, 1]], ['FACT', [5, 6, 1]], ['FACT', [8, 2, 1]]]","[['ROW', 5], ['ROW', 4], ['COL', 2], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [3, 1, 1]]",4,4,1,1,2,0,0,1,2,1,0,1,3,0,1,0,1,1,1,3,3,6.86134147644043
