grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_facts,number_adjacent_row_facts,number_other_constraints,number_other_facts,time
"[[1 2 0 0 0 8 0 9 0]
 [0 0 9 1 0 0 0 0 8]
 [8 0 0 4 0 0 0 3 0]
 [0 0 4 0 0 0 0 0 3]
 [2 0 0 0 0 0 0 4 0]
 [0 0 0 0 0 0 0 0 5]
 [4 9 5 0 0 7 0 0 0]
 [0 0 0 0 8 4 0 2 0]
 [0 0 0 3 0 1 5 0 0]]","[['FACT', [0, 7, 9]], ['FACT', [2, 7, 3]], ['FACT', [5, 8, 5]], ['FACT', [8, 6, 5]]]","[['COL', 7], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [1, 7, 5]]",3,4,2,1,0,0,1,0,0,0,2,2,2,0,2,2,1,2,0,2,2,9.277344703674316
"[[1 2 0 0 0 8 0 9 0]
 [0 0 9 1 0 0 0 5 8]
 [8 0 0 4 0 0 0 3 0]
 [0 0 4 0 0 0 0 0 3]
 [2 0 0 0 0 0 0 4 0]
 [0 0 0 0 0 0 0 0 5]
 [4 9 5 0 0 7 0 0 0]
 [0 0 0 0 8 4 0 2 0]
 [0 0 0 3 0 1 5 0 0]]","[['FACT', [6, 2, 5]], ['FACT', [7, 4, 8]], ['FACT', [7, 5, 4]], ['FACT', [8, 6, 5]]]","[['ROW', 7], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [7, 3, 5]]",3,4,2,0,1,1,0,0,0,0,2,2,2,0,2,0,1,2,2,2,2,9.10759973526001
"[[1 2 0 0 0 8 0 9 0]
 [0 0 9 1 0 0 0 5 8]
 [8 0 0 4 0 0 0 3 0]
 [0 0 4 0 0 0 0 0 3]
 [2 0 0 0 0 0 0 4 0]
 [0 0 0 0 0 0 0 0 5]
 [4 9 5 0 0 7 0 0 0]
 [0 0 0 5 8 4 0 2 0]
 [0 0 0 3 0 1 5 0 0]]","[['FACT', [0, 1, 2]], ['FACT', [4, 0, 2]], ['FACT', [6, 2, 5]], ['FACT', [7, 7, 2]]]","[['ROW', 7], ['COL', 0], ['COL', 1], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [8, 2, 2]]",4,4,1,2,1,0,0,1,1,2,0,1,3,0,1,1,1,1,0,3,3,8.610246181488037
"[[1 2 0 0 0 8 0 9 0]
 [0 0 9 1 0 0 0 5 8]
 [8 0 0 4 0 0 0 3 0]
 [0 0 4 0 0 0 0 0 3]
 [2 0 0 0 0 0 0 4 0]
 [0 0 0 0 0 0 0 0 5]
 [4 9 5 0 0 7 0 0 0]
 [0 0 0 5 8 4 0 2 0]
 [0 0 2 3 0 1 5 0 0]]","[['FACT', [6, 1, 9]], ['FACT', [7, 3, 5]], ['FACT', [7, 4, 8]], ['FACT', [7, 5, 4]], ['FACT', [8, 3, 3]], ['FACT', [8, 5, 1]]]","[['ROW', 6], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [8, 4, 9]]",2,6,1,0,1,0,0,1,1,0,0,5,1,0,5,1,1,5,2,1,1,8.87664270401001
"[[1 2 0 0 0 8 0 9 0]
 [0 0 9 1 0 0 0 5 8]
 [8 0 0 4 0 0 0 3 0]
 [0 0 4 0 0 0 0 0 3]
 [2 0 0 0 0 0 0 4 0]
 [0 0 0 0 0 0 0 0 5]
 [4 9 5 0 0 7 0 0 0]
 [0 0 0 5 8 4 0 2 0]
 [0 0 2 3 9 1 5 0 0]]","[['FACT', [0, 0, 1]], ['FACT', [0, 1, 2]], ['FACT', [1, 7, 5]], ['FACT', [2, 0, 8]], ['FACT', [6, 2, 5]]]","[['ROW', 1], ['COL', 2], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [2, 1, 5]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,9.25647521018982
"[[1 2 0 0 0 8 0 9 0]
 [0 0 9 1 0 0 0 5 8]
 [8 5 0 4 0 0 0 3 0]
 [0 0 4 0 0 0 0 0 3]
 [2 0 0 0 0 0 0 4 0]
 [0 0 0 0 0 0 0 0 5]
 [4 9 5 0 0 7 0 0 0]
 [0 0 0 5 8 4 0 2 0]
 [0 0 2 3 9 1 5 0 0]]","[['FACT', [0, 1, 2]], ['FACT', [2, 1, 5]], ['FACT', [3, 2, 4]], ['FACT', [6, 0, 4]]]","[['COL', 1], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [1, 1, 4]]",3,4,2,1,0,0,1,0,0,0,2,2,2,0,2,2,1,2,0,2,2,7.086038112640381
"[[1 2 0 0 0 8 0 9 0]
 [0 4 9 1 0 0 0 5 8]
 [8 5 0 4 0 0 0 3 0]
 [0 0 4 0 0 0 0 0 3]
 [2 0 0 0 0 0 0 4 0]
 [0 0 0 0 0 0 0 0 5]
 [4 9 5 0 0 7 0 0 0]
 [0 0 0 5 8 4 0 2 0]
 [0 0 2 3 9 1 5 0 0]]","[['FACT', [2, 0, 8]], ['FACT', [6, 1, 9]], ['FACT', [6, 2, 5]], ['FACT', [7, 4, 8]], ['FACT', [8, 2, 2]]]","[['ROW', 7], ['COL', 0], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [8, 1, 8]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,7.303819894790649
"[[1 2 0 0 0 8 0 9 0]
 [0 4 9 1 0 0 0 5 8]
 [8 5 0 4 0 0 0 3 0]
 [0 0 4 0 0 0 0 0 3]
 [2 0 0 0 0 0 0 4 0]
 [0 0 0 0 0 0 0 0 5]
 [4 9 5 0 0 7 0 0 0]
 [0 0 0 5 8 4 0 2 0]
 [0 8 2 3 9 1 5 0 0]]","[['FACT', [4, 7, 4]], ['FACT', [6, 0, 4]], ['FACT', [7, 5, 4]], ['FACT', [8, 6, 5]]]","[['ROW', 7], ['ROW', 6], ['COL', 7], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [8, 8, 4]]",4,4,1,1,2,0,0,1,2,1,0,1,3,0,1,0,1,1,1,3,3,7.948060512542725
"[[1 2 0 0 0 8 0 9 0]
 [0 4 9 1 0 0 0 5 8]
 [8 5 0 4 0 0 0 3 0]
 [0 0 4 0 0 0 0 0 3]
 [2 0 0 0 0 0 0 4 0]
 [0 0 0 0 0 0 0 0 5]
 [4 9 5 0 0 7 0 0 0]
 [0 0 0 5 8 4 0 2 0]
 [0 8 2 3 9 1 5 0 4]]","[['FACT', [2, 1, 5]], ['FACT', [4, 0, 2]], ['FACT', [5, 8, 5]], ['FACT', [6, 2, 5]]]","[['ROW', 5], ['COL', 0], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [3, 0, 5]]",4,4,2,1,1,0,1,0,1,0,2,1,3,0,1,1,1,1,0,3,3,7.0539870262146
"[[1 2 0 0 0 8 0 9 0]
 [0 4 9 1 0 0 0 5 8]
 [8 5 0 4 0 0 0 3 0]
 [5 0 4 0 0 0 0 0 3]
 [2 0 0 0 0 0 0 4 0]
 [0 0 0 0 0 0 0 0 5]
 [4 9 5 0 0 7 0 0 0]
 [0 0 0 5 8 4 0 2 0]
 [0 8 2 3 9 1 5 0 4]]","[['FACT', [1, 2, 9]], ['FACT', [3, 0, 5]], ['FACT', [4, 0, 2]], ['FACT', [6, 1, 9]]]","[['COL', 0], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [5, 0, 9]]",3,4,2,1,0,0,1,0,0,0,2,2,2,0,2,2,1,2,0,2,2,6.489741802215576
