grid,hint_facts,hint_constraints,hint_derived,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 6, 2]]]","[['ROW', 0], ['ROW', 2], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [1, 3, 2]]",2,2,0,0,0,1,0,2,0,2,0,2
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 6, 2]]]","[['ROW', 0], ['ROW', 2], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [1, 3, 2]]",2,2,0,0,0,1,0,2,0,2,0,2
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 6, 2]]]","[['ROW', 0], ['ROW', 2], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [1, 3, 2]]",2,2,0,0,0,1,0,2,0,2,0,2
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 0 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [1, 3, 2]], ['FACT', [1, 5, 9]], ['FACT', [2, 1, 8]], ['FACT', [6, 4, 8]]]","[['ROW', 2], ['COL', 4], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [0, 3, 8]]",3,2,0,0,0,1,1,1,0,1,1,3
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 0 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [1, 3, 2]], ['FACT', [1, 5, 9]], ['FACT', [2, 1, 8]], ['FACT', [6, 4, 8]]]","[['ROW', 2], ['COL', 4], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [0, 3, 8]]",3,2,0,0,0,1,1,1,0,1,1,3
"[[0 0 2 8 0 3 9 0 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 0 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 3, 8]], ['FACT', [0, 5, 3]], ['FACT', [1, 3, 2]], ['FACT', [1, 5, 9]], ['FACT', [2, 5, 4]], ['FACT', [5, 4, 5]]]","[['COL', 4], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [2, 3, 5]]",5,1,0,0,0,1,1,0,0,1,2,5
"[[0 0 2 8 0 3 9 0 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 5 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 8, 6]], ['FACT', [1, 3, 2]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 3, 5]], ['FACT', [2, 5, 4]]]","[['ROW', 0], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [2, 4, 6]]",5,1,0,0,0,1,0,1,0,2,1,5
"[[0 0 2 8 0 3 9 0 6]
 [0 0 5 2 7 9 8 0 0]
 [0 8 0 5 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 8, 6]], ['FACT', [1, 3, 2]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 3, 5]], ['FACT', [2, 5, 4]]]","[['ROW', 0], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [2, 4, 6]]",5,1,0,0,0,1,0,1,0,2,1,5
"[[0 0 2 8 0 3 9 5 6]
 [0 0 5 2 7 9 8 0 0]
 [0 8 0 5 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 8, 6]], ['FACT', [1, 3, 2]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 3, 5]], ['FACT', [2, 5, 4]]]","[['ROW', 0], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [2, 4, 6]]",5,1,0,0,0,1,0,1,0,2,1,5
"[[0 0 2 8 0 3 9 5 6]
 [0 0 5 2 7 9 8 0 0]
 [0 8 0 5 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 8, 6]], ['FACT', [1, 3, 2]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 3, 5]], ['FACT', [2, 5, 4]]]","[['ROW', 0], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [2, 4, 6]]",5,1,0,0,0,1,0,1,0,2,1,5
