,iter,time exp 1,time exp 2
0,1,3.2724993228912354,3.1271181106567383
1,2,3.1280317306518555,2.939903974533081
2,3,3.2102179527282715,16.502363443374634
3,4,2.9529271125793457,3.5338134765625
4,5,2.964728593826294,3.40989089012146
5,6,2.9723708629608154,3.109092950820923
6,7,3.3380379676818848,3.5705158710479736
7,8,3.3633296489715576,3.516113519668579
8,9,3.0033645629882812,3.5692217350006104
9,10,3.0518531799316406,3.2496657371520996
10,11,3.2950756549835205,3.291283369064331
11,12,3.222059726715088,3.237799882888794
12,13,3.1383399963378906,3.3445355892181396
13,14,2.997224807739258,3.4791462421417236
14,15,3.2797513008117676,3.61165714263916
15,16,4.59649133682251,44.38214445114136
16,17,3.0129125118255615,3.2995169162750244
17,18,3.1711835861206055,5.16500186920166
18,19,3.2390551567077637,3.6200649738311768
19,20,3.3363711833953857,3.8389675617218018
20,21,2.9500842094421387,4.171641111373901
21,22,2.979853391647339,3.2625038623809814
22,23,3.071272134780884,3.7423150539398193
23,24,3.938286542892456,4.37685489654541
24,25,3.3793554306030273,3.6587884426116943
25,26,3.223816156387329,4.734925985336304
26,27,3.1817073822021484,4.022900104522705
27,28,3.202310800552368,5.519649267196655
28,29,3.3327713012695312,3.8151636123657227
29,30,3.1296546459198,4.180524826049805
30,31,3.200179100036621,4.779731512069702
31,32,3.3708159923553467,3.2323968410491943
32,33,3.6922383308410645,3.111455202102661
33,34,3.8152451515197754,3.5526580810546875
34,35,5.049297094345093,4.129191160202026
35,36,3.082733392715454,4.570659399032593
36,37,3.2322134971618652,4.3723366260528564
37,38,3.619920253753662,3.8455581665039062
38,39,3.085467576980591,3.481767177581787
39,40,5.0862205028533936,4.58724045753479
40,41,5.2510809898376465,3.3248376846313477
41,42,3.185643434524536,3.197373628616333
42,43,4.581526041030884,3.0489161014556885
43,44,3.4724676609039307,3.566098690032959
44,45,3.942429780960083,4.149254322052002
45,46,3.30558180809021,4.283252239227295
46,47,6.033613681793213,8.142743110656738
47,48,4.3337562084198,4.473654270172119
48,49,4.817694187164307,6.511855125427246
49,50,5.093135595321655,7.000425100326538
50,51,3.7217369079589844,7.3644702434539795
51,52,3.285264492034912,4.954692840576172
52,53,3.9410996437072754,4.4645280838012695
53,54,3.7217295169830322,3.533670425415039
54,55,3.2977278232574463,3.349565029144287
55,56,4.240101337432861,4.262405872344971
56,57,3.5407752990722656,7.636064291000366
57,58,6.5832483768463135,6.471873998641968
58,59,3.428943157196045,5.837133884429932
59,60,4.1119911670684814,6.053380966186523
60,61,6.011616945266724,7.988889455795288
61,62,3.53096342086792,3.6328606605529785
62,63,3.1379330158233643,3.6138980388641357
63,64,4.587288856506348,5.422671556472778
64,65,3.0230658054351807,5.228252172470093
65,66,2.883983850479126,5.009613990783691
66,67,4.471060514450073,4.133082866668701
67,68,3.2885303497314453,3.744152545928955
68,69,3.615590810775757,4.340498447418213
69,70,4.268647909164429,5.463938236236572
70,71,4.54970645904541,5.571631669998169
71,72,4.199828386306763,6.491851806640625
72,73,3.7848799228668213,3.7512435913085938
73,74,5.4713311195373535,4.771782398223877
74,75,3.2712581157684326,3.7663238048553467
75,76,3.4324727058410645,4.221024513244629
76,77,3.8140172958374023,3.185087203979492
77,78,4.0487494468688965,5.935940742492676
78,79,3.1970584392547607,5.0886549949646
79,80,3.740757465362549,3.129230499267578
80,81,3.9261553287506104,5.0144572257995605
81,82,3.4694714546203613,3.5181868076324463
82,83,4.119236946105957,3.1705331802368164
83,84,3.791654348373413,5.17956805229187
84,85,3.001206398010254,5.490143299102783
85,86,2.9050891399383545,3.4347312450408936
86,87,3.4404196739196777,4.622020244598389
87,88,3.7196767330169678,4.937246799468994
88,89,3.3329551219940186,4.553833961486816
89,90,3.877570152282715,5.768706560134888
90,91,3.638948678970337,3.972559690475464
91,92,3.8074560165405273,4.596285343170166
92,93,3.026801586151123,4.494682550430298
93,94,3.3003029823303223,4.080350637435913
94,95,3.9073920249938965,3.304370164871216
95,96,3.811112880706787,3.7283811569213867
96,97,3.6591250896453857,4.067026615142822
97,98,4.5415358543396,5.751144886016846
98,99,4.303656578063965,5.3339574337005615
99,100,3.902716636657715,5.219208002090454
100,101,6.020215272903442,5.4899749755859375
